qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q7428510,医薬品,Q12140,saw palmetto extract,ノコギリヤシエキス,ineffective treatment for BPH,,,,,,
Q28131939,医薬品,Q12140,Nandrolone cyclohexanecarboxylate,,synthetic androgen and anabolic steroid,,,,,,
Q900534,医薬品,Q12140,lavender oil,ラベンダー油,essential oil obtained by distillation from the flower spikes of lavender flower,,,,,,
Q3093648,医薬品,Q12140,jujube,ナツメ,fruit of Ziziphus jujuba,ナツメの果実,,,,,
Q57655990,医薬品,Q12140,rose petals,,"edible flower, drug",,,,,,
Q57657253,医薬品,Q12140,soya lecithin,,"food ingredient, medicinal product",,,,,,
Q1424874,医薬品,Q12140,gyokuro,玉露,Japanese green tea cultivated under the shade rather than the full sun,緑茶の一種,,,,,
Q4333421,医薬品,Q12140,Olbas Oil,,mixture of essential oils,,,,,,
Q96022656,医薬品,Q12140,cola,,herbal medicine documented by the European Medicines Agency,,,,,,
Q27584644,医薬品,Q12140,Angelicae Radix,当帰,Crude drug,,,,,,
Q27656868,医薬品,Q12140,Arctii Fructus,牛蒡子,Crude drug,,,,,,
Q27650339,医薬品,Q12140,Puerariae Radix,葛根,Crude drug,,,,,,
Q27622405,医薬品,Q12140,Dioscoreae Rhizoma,山薬,Crude drug,,,,,,
Q27653540,医薬品,Q12140,Alpiniae Officinari Rhizoma,良姜,Crude drug,,,,,,
Q789960,医薬品,Q12140,bancha,番茶,Japanese green tea,緑茶の一種,,,,,
Q27631042,医薬品,Q12140,Gardeniae Fructus,山梔子,Crude drug,,,,,,
Q27650033,医薬品,Q12140,Natrii Sulfus,芒硝,Crude drug,,,,,,
Q27656870,医薬品,Q12140,Arecae Semen,檳榔子,Crude drug,,,,,,
Q27653543,医薬品,Q12140,Araliae Cordatae Rhizoma,独活,Crude drug,生薬,,,,,
Q27650144,医薬品,Q12140,perilla leaf,蘇葉,leaf of Perilla frutescens,,,,,,
Q27650238,医薬品,Q12140,Phellodendri Cortex,黄柏,Crude drug,,,,,,
Q27650233,医薬品,Q12140,peach pit,桃仁,pit (or stone) from the fruit of Prunus persica,,,,,,
Q27650332,医薬品,Q12140,sclerotium of umbrella polypore,猪苓,Crude drug,,,,,,
Q27650534,医薬品,Q12140,Saccharum Granorum,膠飴,Crude drug,,,,,,
Q27650611,医薬品,Q12140,scutellaria root,黄芩,Crude drug,,,,,,
Q27650609,医薬品,Q12140,Schisandrae Fructus,五味子,Crude drug,,,,,,
Q27650613,医薬品,Q12140,Sinomeni Caulis et Rhizoma,防已,Crude drug,,,,,,
Q27650944,医薬品,Q12140,Akebiae Caulis,木通,Crude drug,,,,,,
Q27650672,医薬品,Q12140,Zingiberis Siccatum Rhizoma,乾姜,Crude drug,,,,,,
Q27653541,医薬品,Q12140,Amomi Semen,縮砂,Crude drug,,,,,,
Q907730,医薬品,Q12140,oxyntomodulin,,peptide hormone in Homo sapiens,,D053772,,,,C0086379
Q27656865,医薬品,Q12140,Araliae Cordatae Radix,和羗活,Crude drug,,,,,,
Q27656872,医薬品,Q12140,Arisaematis Tuber,天南星,Crude drug,,,,,,
Q27657258,医薬品,Q12140,Asparagi Radix,天門冬,Crude drug,,,,,,
Q27587250,医薬品,Q12140,Artemisiae Capillari Flos,茵蔯蒿,Crude drug,,,,,,
Q27587290,医薬品,Q12140,Asiasari Radix,細辛,Crude drug,,,,,,
Q27587366,医薬品,Q12140,Astragali Radix,黄耆,Crude drug,,,,,,
Q27587790,医薬品,Q12140,Atractylodis Rhizoma,白朮,Crude drug,,,,,,
Q27587674,医薬品,Q12140,swordlike atracylodes rhizome,蒼朮,Crude drug,,,,,,
Q27620177,医薬品,Q12140,nut-grass rhizome,香附子,Crude drug,,,,,,
Q635415,医薬品,Q12140,ibritumomab,イブリツモマブ チウキセタン,radioimmunotherapy treatment,放射免疫治療薬の一つ,,,,,
Q27653542,医薬品,Q12140,Angelicae Dahuricae Radix,白芷,Crude drug,,,,,,
Q27584859,医薬品,Q12140,Armeniacae Semen,杏仁,Crude drug,,,,,,
Q770335,医薬品,Q12140,pumpkin seed oil,パンプキン・シード・オイル,oil from the seeds of pumpkins,,,,,,
