en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
trisomy 16,16トリソミー,disease,病気,partial or complete triplication of chromosome 16,,Q503642
computer vision syndrome,VDT症候群,disease,病気,"condition resulting from focusing the eyes on a screen for protracted, uninterrupted periods of time",,Q1196503
mastocytosis,肥満細胞症,disease,病気,human disease,,Q112670
Coffin-Lowry syndrome,コフィン・ローリー症候群,disease,病気,genetic disorder that is X-linked dominant,,Q1106881
Nijmegen breakage syndrome,ナイミーヘン染色体不安定症候群,disease,病気,human disease,,Q1250362
drusen,ドルーゼン,disease,病気,tiny yellow or white accumulations of extracellular material that build up between Bruch's membrane and the retinal pigment epithelium of the eye,,Q1140528
von Hippel-Lindau disease,フォン・ヒッペル・リンドウ病,disease,病気,a rare genetic disorder characterized by visceral cysts and benign tumors in multiple organ systems with potential for subsequent malignant change.,,Q741315
Crigler-Najjar syndrome,クリグラー・ナジャール症候群,disease,病気,bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT),,Q1140000
cardiofaciocutaneous syndrome,CFC症候群,disease,病気,Human disease,,Q1097490
Denys-Drash syndrome,デニス・ドラッシュ症候群,disease,病気,Human disease,,Q774016
Treacher Collins syndrome,トリーチャーコリンズ症候群,disease,病気,human genetic disorder,頬骨の欠如等の顎顔面形態の不調和を特徴とする、常染色体優位先天性疾患のひとつ,Q744790
congenital insensitivity to pain with anhidrosis,先天性無痛無汗症,disease,病気,rare disease,,Q501694
hemolytic anemia,溶血性貧血,disease,病気,form of anemia due to hemolysis,赤血球の破壊により起こる貧血,Q1145668
galactosemia,ガラクトース血症,disease,病気,carbohydrate metabolic disorder that involves a defect in galactose metabolism resulting in toxic levels of galactose 1-phosphate in various tissues,,Q774483
Cohen syndrome,コーエン症候群,disease,病気,"a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,Q1107087
Joubert syndrome,ジュベール症候群,disease,病気,"Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones",,Q1101694
enteric redmouth disease,レッドマウス病,disease,病気,bacterial infection of freshwater and marine fish,,Q606895
CINCA syndrome,新生児期発症多臓器系炎症性疾患,disease,病気,"Chronic Infantile Neurological, Cutaneous, and Articular (CINCA) syndrome is characterised by skin rash, joint involvement, chronic meningitis with granulocytes and, in some cases, sensorineural hearing loss and ocular signs",,Q779203
cleidocranial dysplasia,鎖骨・頭蓋異形成症,disease,病気,osteochondrodysplasia that has material basis in mutations in the RUNX2 gene which results in undeveloped or absent located in clavicle along with delayed closing of fontanels in the located in skull,,Q781618
idiopathic CD4+ lymphocytopenia,特発性CD4+リンパ球減少症,disease,病気,rare disease,,Q1087632
Krabbe disease,クラッベ病,disease,病気,congenital disorder of the nervous system,,Q511372
hemarthrosis,関節内出血,disease,病気,bleeding into joint spaces,,Q1642040
osteochondritis dissecans,離断性骨軟骨炎,disease,病気,ischemic bone disease that results in necrosis located in epiphysis,,Q127556
FG syndrome,FG症候群,disease,病気,disease,,Q530142
gynandromorphism,雌雄モザイク,disease,病気,organism with both male and female characteristics,,Q430711
achromatopsia,杆体1色覚,disease,病気,"human illness, a type of color blindness",,Q432396
Tay-Sachs disease,テイ＝サックス病,disease,病気,Human medical condition,,Q560337
chondrocalcinosis,偽痛風,disease,病気,arthritis that has material basis in the accumulation of salt crystals located in joint,,Q559082
Wilson disease,肝レンズ核変性症,disease,病気,multisystem disease due to abnormal accumulation of copper,先天性銅代謝異常によって無機銅が代謝されずに蓄積し、大脳のレンズ核の変性と共に肝硬変・角膜輪等を生ずる疾患,Q117121
acute intermittent porphyria,急性間欠性ポルフィリン症,disease,病気,human disease,,Q424247
Alexander disease,アレキサンダー病,disease,病気,congenital disorder of nervous system,,Q567820
septic arthritis,敗血症性関節炎,disease,病気,arthritis that involves infection by a pathogen located in joint syaptic,関節の細菌感染症,Q924421
Bartter disease,バーター症候群,disease,病気,Human disease,,Q790971
ventricular septal defect,心室中隔欠損,disease,病気,"heart septal defect characterized by an opening in the interventricular septum, causing a shunt between ventricles",,Q838139
neurofibromatoses,神経線維腫症,disease,病気,human diseases,,Q847605
febrile seizure,熱性けいれん,disease,病気,seizure associated with a high body temperature,温度が38°Cを超えると発生する発作,Q127664
advanced sleep phase syndrome,睡眠相前進症候群,disease,病気,sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning,概日リズムが正常な状態より前進する疾患,Q1125121
microcephaly,小頭症,disease,病気,medical condition in which the brain does not develop properly resulting in a smaller than normal head,,Q431643
relapsing polychondritis,再発性多発軟骨炎,disease,病気,human disease,,Q187656
tetralogy of Fallot,ファロー四徴症,disease,病気,"congenital heart defect, whose symptoms include episodes of bluish skin color, whose embryology includes anteriosuperior displacement of the infundibular (aorticopulmonary) septum",心室中隔欠損症、大動脈騎乗、肺動脈狭窄、右心室肥大という4特徴と同時にチアノーゼを伴う先天性心疾患,Q1126831
Heberden's node,ヘバーデン結節,disease,病気,human disease,,Q1034711
Angelman syndrome,アンジェルマン症候群,disease,病気,genetic condition in humans,,Q535364
tenosynovitis,腱鞘炎,disease,病気,"inflammation of the fluid-filled sheath (called the synovium) that surrounds a tendon, typically leading to joint pain, swelling, and stiffness",腱の周囲を覆う腱鞘（けんしょう）の炎症,Q1505689
trimethylaminuria,トリメチルアミン尿症,disease,病気,rare metabolic disorder,,Q506433
glycogen storage disease V,マッカードル病,disease,病気,Human disease,,Q787751
aortic valve stenosis,大動脈弁狭窄症,disease,病気,aortic valve disease that has physical basis in incomplete opening of the aortic valve,,Q531019
nephrotic syndrome,ネフローゼ症候群,disease,病気,Human disease,尿中に大量のタンパク質が排出されることにより、血液中のタンパク質の濃度が薄くなる結果、むくみ（浮腫）等の異常が起こる疾患,Q504790
urethral stricture,尿道狭窄,disease,病気,"narrowing of the urethra caused by injury, instrumentation, infection and certain non-infectious forms of urethritis",,Q1585753
melanoma,悪性黒色腫,disease,病気,malignant neoplasm originating from melanocytes,皮膚、眼窩内組織、口腔粘膜上皮などに発生するメラノサイト由来の悪性腫瘍,Q180614
angioedema,血管性浮腫,disease,病気,disease characterized by the rapid swelling,,Q1129007
Schindler disease,シンドラー病,disease,病気,Rare congenital metabolic disorder in humans.,,Q310335
aplastic anemia,再生不良性貧血,disease,病気,"anemia that is characterized by a deficiency of red blood cells, white blood cells and platelets produced by bone marrow",,Q846316
dyslexia,ディスレクシア,disease,病気,specific learning disability characterized by troubles with reading,文字の読み書きに関する学習障害,Q132971
retinopathy of prematurity,未熟児網膜症,disease,病気,"disease of the eye affecting prematurely born babies generally having received intensive neonatal care, in which oxygen therapy is used on them due to the premature development of their lungs",,Q1423087
medulloblastoma,髄芽腫,disease,病気,"infratentorial cancer located in the lower part of the brain, a type of primitive neuroectodermal tumor",神経系に発生する悪性腫瘍,Q1333608
Emery-Dreifuss muscular dystrophy,エメリー・ドレフュス型筋ジストロフィー,disease,病気,muscular dystrophy that chiefly affects muscles used for movement (skeletal) and heart (cardiac) muscle,,Q1335642
Naxos disease,ナクソス病,disease,病気,"Naxos disease is a recessively inherited condition with arrhythmogenic right ventricular dysplasia/cardiomyopathy (ARVD/C) and a cutaneous phenotype, characterised by peculiar woolly hair and palmoplantar keratoderma",,Q1332565
Kostmann syndrome,重症先天性好中球減少症,disease,病気,"group of diseases that affect myelopoiesis, causing a congenital form of neutropenia",,Q1337441
fibrodysplasia ossificans progressiva,進行性骨化性線維異形成症,disease,病気,extremely rare connective tissue disease,,Q1410831
sitosterolemia,シトステロール血症,disease,病気,rare autosomal recessively inherited lipid metabolic disorder,,Q1336034
empty sella syndrome,エンプティ・セラ症候群,disease,病気,endocrine disease,,Q1339466
arthritis,関節炎,disease,病気,"any of several joint disorders, some autoimmune, some infectious",,Q170990
phaeochromocytoma,褐色細胞腫,disease,病気,endocrine organ benign neoplasm that arises within the adrenal medulla,,Q536269
uncombable hair syndrome,梳かせない髪症候群,disease,病気,rare scalp hair shaft dysplasia,,Q541852
aphakia,無水晶体症,disease,病気,condition where the eye lacks a lens,水晶体が目にない状態,Q558623
polyorchidism,多睾丸症,disease,病気,rare disease,,Q745631
Pitt-Hopkins syndrome,ピット＝ホプキンズ症候群,disease,病気,"rare genetic disorder characterized by developmental delay, epilepsy, distinctive facial features, and possible intermittent hyperventilation followed by apnea",発達遅延、顔面形態異常、呼吸異常の合併を特徴とする遺伝子疾患,Q1164401
Li-Fraumeni syndrome,Li-Fraumeni症候群,disease,病気,"autosomal dominant disease characterized by increased risk of developing several types of cancer, including breast cancer, osteosarcomata and soft tissue sarcomata",,Q187542
ichthyosis,魚鱗癬,disease,病気,"skin disease in which dry, scaly skin accumulates",先天的、または後天的な皮膚病の一種,Q523893
Stargardt disease,スターガルト病,disease,病気,age related macular degeneration that is characterized by progressive vision loss usually to the point of legal blindness,,Q1317319
Pick disease,ピック病,disease,病気,"rare neurodegenerative disorder, characterized by formation of Pick bodies",,Q18576
acromegaly,先端巨大症,disease,病気,Human disease / micro cephaly opposite,,Q189580
keratoconus,円錐角膜,disease,病気,"corneal disease characterized by structural changes within the cornea causing it to thin and change, leading to a protruding conical shape",,Q611984
Sertoli cell-only syndrome,セルトリ細胞遺残症候群,disease,病気,Human disease,,Q167050
Pfeiffer syndrome,プファイファー症候群,disease,病気,acrocephalosyndactylia that has material basis in mutations in the FGFR1 and FGFR2 gene which results in premature fusion located in skull,,Q1286848
juvenile polyposis syndrome,若年性ポリープ,disease,病気,"autosomal dominant disease that is characterized by predisposition to hamartomatous benign polyps in the gastrointestinal tract, specifically in the stomach, small intestine, colon, and rectum",,Q609165
dermatofibrosarcoma protuberans,隆起性皮膚線維肉腫,disease,病気,fibrosarcoma that is located in the dermis layer of the skin,,Q1200239
DiGeorge syndrome,22q11.2欠失症候群,disease,病気,"T cell deficiency disease that is the result of a large deletion of chromosome 22, which includes the DGS gene needed for development of the thymus and related glands with subsequent lack of T-cell production",,Q525642
nephroblastoma,腎芽腫,disease,病気,rare disease,小児の腎腫瘍,Q756289
pre-eclampsia,子癇前症,disease,病気,hypertension occurring during pregnancy,,Q61335
hyperthyroidism,甲状腺機能亢進症,disease,病気,thyroid gland disease that involves an overproduction of thyroid hormone,,Q16499
Williams-Beuren syndrome,ウィリアムズ症候群,disease,病気,"neurodevelopmental disorder caused by a deletion of around 27 genes in chromosome 7, characterized by a broad forehead, underdeveloped chin, short nose, full cheeks, challenges with visual tasks, increased empathy and decreased aggression",まれな遺伝子疾患,Q558077
adult Refsum disease,レフサム病,disease,病気,Human disease,,Q177809
osteogenesis imperfecta,骨形成不全症,disease,病気,osteochondrodysplasia that has material basis in a deficiency in type-I collagen which results in brittle bones and defective connective tissue,,Q749409
albinism,アルビノ,disease,病気,congenital disorder causing skin to lack pigmentation,,Q81867
Fanconi syndrome,ファンコーニ症候群,disease,病気,"renal tubular transport disease of the proximal renal tubes characterized by glucosuria, phosphaturia, generalized aminoaciduria and HCO3 wasting",,Q1179460
Lafora disease,ラフォラ病,disease,病気,"type of rare, inherited, severe, progressive myoclonic epilepsy",,Q163905
erythromelalgia,肢端紅痛症,disease,病気,Human disease,,Q524353
neuroacanthocytosis,神経有棘赤血球症,disease,病気,Neuroacanthocytosis (NA) syndromes are a group of genetic diseases characterized by the association of red blood cell acanthocytosis (deformed erythrocytes with spike-like protrusions) and progressive degeneration of the basal ganglia,,Q746781
cone dystrophy,錐体ジストロフィー,disease,病気,inherited ocular disorder characterized by the loss of cone cells,,Q147270
hemophilia,血友病,disease,病気,"human genetic disease that impairs the body's ability to make blood clots, a process needed to stop bleeding",血液凝固因子のうちVIII因子、IX因子の欠損ないし活性低下による遺伝性血液凝固異常症,Q134003
porcine proliferative enteropathy,ローソニア感染症,disease,病気,,,Q1767508
knee osteoarthritis,変形性膝関節症,disease,病気,Wear and tear of the cartilaginous joint surfaces of the knee joint.,,Q1777118
spondylitis,脊椎炎,disease,病気,inflammation of the vertebra,,Q2165411
citrullinemia,シトルリン血症,disease,病気,urea cycle disorder that involves the accumulation of ammonia in the blood.,,Q859142
ciliopathy,繊毛病,disease,病気,"genetic disease associated with mutations encoding defective proteins, which result in either abnormal function formation or function of cilia",,Q203031
5-alpha-reductase deficiency,5α-還元酵素II型欠損症,disease,病気,medical condition,,Q858426
Gaucher's disease,ゴーシェ病,disease,病気,human disease characterized by deficiency of the enzyme glucocerebrosidase which results in the accumulation of harmful quantities of the glycolipid glucocerebroside throughout the body,,Q861645
atrial fibrillation,心房細動,disease,病気,abnormal heart rhythm characterized by rapid and irregular beating,,Q815819
multiple endocrine neoplasia type 2A,多発性内分泌腫瘍症2型,disease,病気,"autosomal dominant disease characterized by medullary carcinoma of the thyroid, pheochromocytoma, hyperparathyroidism, and occasionally cutaneous lichen amyloidosis",,Q604075
lymphedema,リンパ水腫,disease,病気,human disease,,Q916398
anti-NMDA receptor encephalitis,抗NMDA受容体抗体脳炎,disease,病気,rare disease,急性型の脳炎,Q574719
trichotillomania,抜毛症,disease,病気,impulse control disorder with uncontrollable hair pulling,正常な毛を引き抜いてしまう精神障害のひとつ,Q608259
Legius syndrome,レジウス症候群,disease,病気,rare genetic skin pigmentation disorder characterized by multiple cafe-au-lait macules,,Q890470
stuttering,吃音症,disease,病気,"speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds",言葉が円滑に話せない、スムーズに言葉が出てこないこと,Q186676
thrombocytopenia,血小板減少症,disease,病気,blood platelet disease characterized by a low platelet count,,Q585285
nodding disease,頷き病,disease,病気,medical condition,,Q895930
Prader–Willi syndrome,プラダー・ウィリー症候群,disease,病気,rare genetic disorder,,Q594013
bicuspid aortic valve,大動脈二尖弁,disease,病気,human disease,,Q860167
pseudohypoparathyroidism,偽性副甲状腺機能低下症,disease,病気,human disease,,Q819207
Morquio syndrome,モルキオ症候群,disease,病気,rare disease,,Q580285
primary polydipsia,心因性多飲症,disease,病気,dry mouth and excessive fluid consumption in the absence of physiological stimuli to drink with physiological suppression of arginine-vasopressin secretion or a decrease in the sensitivity threshold of osmoreceptors (thirst center),,Q929963
mucopolysaccharidosis VI,ムコ多糖症VI型,disease,病気,lysosomal storage disease,,Q576109
visceral heterotaxy,内臓異位症,disease,病気,rare disease,,Q203115
Seckel syndrome,セッケル症候群,disease,病気,autosomal recessive disease characterized by intrauterine growth retardation and postnatal dwarfism with microcephaly and intellectual disability,,Q572169
Brugada syndrome,ブルガダ症候群,disease,病気,heart conduction disease characterized by abnormal ECG findings,,Q599683
Cockayne syndrome,コケイン症候群,disease,病気,rare and fatal autosomal recessive neurodegenerative disorder,DNA修復遺伝子の異常による常染色体潜性遺伝性の早老症,Q914389
gestational trophoblastic neoplasm,胞状奇胎,disease,病気,Human disease,,Q881855
Antley-Bixler syndrome,アントレー・ビクスラー症候群,disease,病気,autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the FGFR2 gene,,Q585011
sensorineural hearing loss,感音難聴,disease,病気,type of Hearing Loss,,Q928697
caudal regression syndrome,尾部退行症候群,disease,病気,congenital disorder in humans caused by abnormal fetal development of the lower spine,,Q1129947
congenital heart disease,先天性心疾患,disease,病気,cardiovascular disease,,Q939364
Dubin-Johnson syndrome,デュビン・ジョンソン症候群,disease,病気,"rare, autosomal recessive, benign disorder that causes an isolated increase of conjugated bilirubin in the serum",,Q1263039
trisomy 22,22トリソミー,disease,病気,partial or complete triplication of chromosome 22,,Q1426698
Ewing sarcoma,ユーイング肉腫,disease,病気,"bone cancer that has material basis in neural crest cells derives from undeveloped, undifferentiated neuroectoderm",小円形細胞の増殖によりなる悪性腫瘍,Q1138580
hyperprolactinemia,高プロラクチン血症,disease,病気,acquired metabolic disease that has material basis in the presence of abnormally-high levels of prolactin in the blood,,Q1433936
Costello syndrome,コステロ症候群,disease,病気,"syndrome characterized by craniofacial dysmorphology, cardiac defects, mild intellectual disability, and high birth weight followed by a failure to thrive and developmental delays",,Q1136492
tuberous sclerosis,結節性硬化症,disease,病気,rare multisystem genetic disease that causes benign tumors to grow in the brain and on other vital organs,,Q1362721
Duane retraction syndrome,デュアン症候群,disease,病気,a rare congenital disease characterized by external gaze palsy,,Q1262684
Pallister–Killian syndrome,パリスター・キリアン症候群,disease,病気,rare disease,,Q1425018
shoulder impingement syndrome,インピンジメント症候群,disease,病気,"syndrome which occurs when the tendons of the rotator cuff muscles become irritated and inflamed as they pass through the subacromial space, the passage beneath the acromion",,Q1660341
hyperparathyroidism,副甲状腺機能亢進症,disease,病気,endocrine disease,副甲状腺が過剰に働き血中カルシウム濃度が高くなる病気,Q1344835
opsoclonus myoclonus syndrome,眼球クローヌス・ミオクローヌス運動失調,disease,病気,rare disease,,Q1424706
bacterial cold water disease,冷水病,disease,病気,bacterial disease of salmonid fish,,Q1722736
thrombotic thrombocytopenic purpura,血栓性血小板減少性紫斑病,disease,病気,human disease,,Q1426491
Epstein syndrome,エプスタイン症候群,disease,病気,disease,,Q1347729
Dravet syndrome,ドラべ症候群,disease,病気,epilepsy characterized by frequent febrile seizures and with onset before 1 year,,Q1255956
syndactyly,合指症,disease,病気,synostosis that results in the fusion of two or more digits,,Q1360044
Alagille syndrome,アラジール症候群,disease,病気,congenital disorder of digestive system,,Q1544408
Bloom syndrome,ブルーム症候群,disease,病気,rare genetic disorder with short strature and predisposition to cancer,,Q1469646
situs inversus,内臓逆位,disease,病気,congenital condition in which the major visceral organs are reversed from their normal positions,,Q1456383
lissencephaly,滑脳症,disease,病気,brain disorder that prevents growth of brain folds,,Q1544416
Muckle-Wells syndrome,マックル・ウェルズ症候群,disease,病気,Human disease,,Q1538218
tooth agenesis,歯数不足症,disease,病気,human disease,,Q1549421
common variable immunodeficiency,分類不能型免疫不全症,disease,病気,immune disorder,,Q1472818
coloboma,コロボーマ,disease,病気,"eye disease characterized by missing pieces of tissue in structures that form the eye, such as the iris, retina, choroid or optic disc",,Q1462309
Noonan syndrome,ヌーナン症候群,disease,病気,"congenital, genetically widespread disease considered to be a type of dwarfism affecting boys and girls equally",,Q1543446
Madelung's deformity,マーデルング変形,disease,病気,"Madelung disease, or deformity (MD) is a predominantly bilateral wrist anomaly characterized by shortened and bowed radii and long ulnae leading to dorsal dislocation of the distal ulna and limited mobility of the wrist and elbow",,Q1456924
Kabuki syndrome,歌舞伎症候群,disease,病気,rare disease,常染色体優性遺伝の遺伝疾患,Q1538227
vesicoureteral reflux,膀胱尿管逆流,disease,病気,ureteral disease characterized by backward flow of urine from the urinary bladder into the ureter,,Q1550521
Müllerian agenesis,ミュラー管無発生,disease,病気,congenital atypical development of Müllerian ducts,10代後半以降の無月経や性交障害で発覚する、染色体・卵巣・卵管は正常なものの、子宮や腟が皆無または一部が欠損している先天性疾患,Q1473749
Legg–Calvé–Perthes disease,レッグペルテス,disease,病気,osteochondrosis that results in death and fracture located in hip joint,,Q1456403
Fazio-Londe disease,ファチオ・ロンド症候群,disease,病気,a very rare inherited motor neuron disease of children and young adults,,Q1399155
Peutz-Jeghers syndrome,ポイツ・ジェガーズ症候群,disease,病気,autosomal dominant genetic disorder characterized by the development of benign hamartomatous polyps in the gastrointestinal tract and hyperpigmented macules on the lips and oral mucosa (melanosis),大腸に100個以上のポリープが発生する常染色体優性遺伝疾患,Q1544989
Rett syndrome,レット症候群,disease,病気,genetic brain disorder,生後6カ月以降の女児にみられる遺伝性発達障害,Q917357
sickle-cell disease,鎌状赤血球症,disease,病気,group of genetic blood disorders,,Q185034
muscular disease,ミオパチー,disease,病気,"disease in which the muscle fibers do not function, resulting in muscular weakness",筋肉の疾患の総称,Q692536
homocystinuria,ホモシスチン尿症,disease,病気,amino acid metabolic disorder that involves an accumulation of homocysteine in the serum and an increased excretion of homocysteine in the urine,,Q994859
hypopituitarism,下垂体機能低下症,disease,病気,pituitary gland disease characterized by the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland,,Q922411
Sandhoff disease,サンドホフ病,disease,病気,"lysosomal storage disorder from the GM2 gangliosidosis family, characterised by central nervous system degeneration",,Q917227
familial adenomatous polyposis,家族性大腸腺腫症,disease,病気,autosomal dominant disease that is has material basis in mutations in the APC gene and involves formation of numerous polyps in the epithelium of the large intestine which are initially benign and later transform into colon cancer,,Q1369011
Pelger-Huet anomaly,ペルゲル・ヒュエット異常症,disease,病気,Human disease,,Q975182
Usher syndrome,アッシャー症候群,disease,病気,syndrome characterized by a combination of hearing loss and visual impairment,,Q917399
Wolff–Parkinson–White syndrome,WPW症候群,disease,病気,"congenital syndrome characterized by additional electrical pathways causing electrical conduction problems in the heart, leading to sporadic episodes of tachycardia and other symptoms.",,Q925092
McLeod syndrome,マクロード症候群,disease,病気,rare disease,,Q966149
prolactinoma,プロラクチノーマ,disease,病気,adenoma of the pituitary gland producing prolactin,,Q954831
pneumothorax,気胸,disease,病気,abnormal collection of air in the pleural space,肺の疾患,Q203601
lymphangiomatosis,リンパ管腫症,disease,病気,rare disease,,Q183390
Huntington's disease,ハンチントン病,disease,病気,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",遺伝子の第1エクソンのCAGの繰り返し配列が異常に伸びることによる変性疾患,Q190564
