en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Crigler-Najjar syndrome,クリグラー・ナジャール症候群,disease,病気,bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT),,Q1140000
cardiofaciocutaneous syndrome,CFC症候群,disease,病気,Human disease,,Q1097490
Denys-Drash syndrome,デニス・ドラッシュ症候群,disease,病気,Human disease,,Q774016
microcephaly,小頭症,disease,病気,medical condition in which the brain does not develop properly resulting in a smaller than normal head,,Q431643
congenital insensitivity to pain with anhidrosis,先天性無痛無汗症,disease,病気,rare disease,,Q501694
hemolytic anemia,溶血性貧血,disease,病気,form of anemia due to hemolysis,赤血球の破壊により起こる貧血,Q1145668
galactosemia,ガラクトース血症,disease,病気,carbohydrate metabolic disorder that involves a defect in galactose metabolism resulting in toxic levels of galactose 1-phosphate in various tissues,,Q774483
systemic lupus erythematosus,全身性エリテマトーデス,disease,病気,"inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.",膠原病の一つ,Q1485
Cohen syndrome,コーエン症候群,disease,病気,"a rare genetic developmental disorder characterized by microcephaly, characteristic facial features, hypotonia, non-progressive intellectual deficit, myopia and retinal dystrophy, neutropenia and truncal obesity",,Q1107087
Joubert syndrome,ジュベール症候群,disease,病気,"Joubert syndrome (JS) is characterized by congenital malformation of the brainstem and agenesis or hypoplasia of the cerebellar vermis leading to an abnormal respiratory pattern, nystagmus, hypotonia, ataxia, and delay in achieving motor milestones",,Q1101694
Craniopagus parasiticus,寄生的頭蓋結合体,disease,病気,rare type of Craniopagus,,Q1483
aplastic anemia,再生不良性貧血,disease,病気,"anemia that is characterized by a deficiency of red blood cells, white blood cells and platelets produced by bone marrow",,Q846316
idiopathic CD4+ lymphocytopenia,特発性CD4+リンパ球減少症,disease,病気,rare disease,,Q1087632
Bannayan-Riley-Ruvalcaba syndrome,バナヤン・ライリー・ルバルカバ症候群,disease,病気,"a rare overgrowth syndrome and hamartomatous disorder with occurrence of multiple subcutaneous lipomas, macrocephaly and hemangiomas.",,Q474254
caudal regression syndrome,尾部退行症候群,disease,病気,congenital disorder in humans caused by abnormal fetal development of the lower spine,,Q1129947
luseogliflozin,ルセオグリフロジン,medication,医薬品,chemical compound,,Q27275212
Kolokol-1,KOLOKOL-1,medication,医薬品,chemical compound,,Q6151855
direclidine,NBI-1117568,medication,医薬品,antipsychotic drug,,Q130343832
oral contraceptive,経口避妊薬,medication,医薬品,medication taken by mouth for the purpose of birth control,,Q3344800
tunicamycin,ツニカマイシン,medication,医薬品,mixture; extract from bacteria,,Q3542091
nirmatrelvir/ritonavir,ニルマトレルビル・リトナビル,medication,医薬品,antiviral combination medication,,Q110442458
Mori Cortex,桑白皮,medication,医薬品,Crude drug,,Q27678903
mulberry leaf,桑葉,medication,医薬品,,,Q56316433
Indigenous Cacao,先住民族のカカオ,medication,医薬品,cacao seeds or cocoa beans from Theobroma cacao trees growing at their place of origin in South America,南米原産のカカオの木から採れるカカオの種子またはカカオ豆,Q116817861
four thieves vinegar,4人の泥棒の酢,medication,医薬品,concoction believed to protect users from the plague,,Q1327377
Angelica dahurica,ヨロイグサ,medication,医薬品,species of plant,セリ科シシウド属の多年草であるヨロイグサの漢名,Q847098
Savlon,サブロン,medication,医薬品,Antiseptic solution for hygiene care,,Q7428376
female condom,女性用コンドーム,medication,医薬品,device for birth control and STI prevention,,Q864088
CVL-354,イカルカプラント,medication,医薬品,chemical compound,,Q116814555
pharmaceutical preparation of nitroglycerin,ニトログリセリン,medication,医薬品,drug,,Q3221044
cinnamon bark extract,桂皮エキス,medication,医薬品,extract from cinnamon bark,シナモン樹皮の抽出物,Q204193
Lushan Yunwu,廬山雲霧,medication,医薬品,famous Chinese green tea from Jiangxi,,Q11062782
Longjing tea,龍井茶,medication,医薬品,"pan-roasted green tea from the area of Longjing Village in Hangzhou, China",,Q1069130
mastic,マスティック・ガム,medication,医薬品,resin obtained from the mastic tree,ウルシ科の低木マスティックの樹液を原料とした食用のガム・スパイス,Q318367
corticotropin,副腎皮質刺激ホルモン,medication,医薬品,hormone,ホルモンの一つ,Q185690
balsam of Peru,ペルーバルサム,medication,医薬品,herbal preparation,ペルーバルサムの木から得られる樹脂,Q120424
Biluochun,碧螺春,medication,医薬品,"famous Chinese green tea from Dongting Mountains, near Suzhou",,Q2983740
Anji bai cha,安吉白茶,medication,医薬品,"Rare, large-leafed green tea",,Q17151716
Maojian tea,信陽毛尖,medication,医薬品,one of the top Chinese green teas,,Q10888066
Lu'an Melon Seed tea,六安瓜片,medication,医薬品,One of China's most famous green tea,,Q6694772
myrrh,没薬,medication,医薬品,resin produced by the Commiphora myrrha tree,,Q203635
Huangshan Maofeng,黄山毛峰,medication,医薬品,one of the most famous green teas in China,,Q1069679
green tea,緑茶,medication,医薬品,unoxidized tea,飲料の一種,Q484083
tea tree oil,チャノキ油,medication,医薬品,essential oil derived from leaves,精油,Q48832
motherwort herb,マザーワート,medication,医薬品,herbal medicine documented by the European Medicines Agency,,Q165431
clove,丁子,medication,医薬品,spice made from dried flowers of clove (Syzygium aromaticum),,Q15622897
cinnamon,シナモン,medication,医薬品,spice obtained from the inner bark of several tree species from the genus Cinnamomum,香辛料,Q28165
Chun Mee tea,珍眉茶,medication,医薬品,popular Chinese green tea,,Q1089546
Peroxisomal disease (except Adrenoleukodystrophy),ペルオキシソーム病,symptom,症状,,ヒトの疾患,Q65501350
Wolfram syndrome,ウォルフラム症候群,symptom,症状,"rare disease in which a human simultaneously has diabetes insipidus, diabetes, optic nerve atrophy and deafness syndrome",,Q1153641
Werner syndrome,ウェルナー症候群,symptom,症状,Lethal autosomal recessive disorder,,Q1154619
IgA glomerulonephritis,IgA腎症,symptom,症状,disease of the kidney,,Q1146454
POEMS syndrome,クロウ・深瀬症候群,symptom,症状,paraneoplastic syndrome,,Q2553422
Alice in Wonderland syndrome,不思議の国のアリス症候群,symptom,症状,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,Q649340
Stevens–Johnson syndrome,スティーブンス・ジョンソン症候群,symptom,症状,skin disease,皮膚や粘膜の過敏症,Q1053948
cerebrotendinous xanthomatosis,脳腱黄色腫症,symptom,症状,autosomal recessive form of xanthomatosis.,,Q2602467
inherited pseudoxanthoma elasticum,弾力繊維性仮性黄色腫,symptom,症状,Human disease,,Q1052391
multiple sclerosis,多発性硬化症,symptom,症状,disease that damages the myelin sheaths around nerve axons,中枢性脱髄疾患の一つ,Q8277
primary biliary cholangitis,原発性胆汁性肝硬変,symptom,症状,liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts,,Q1072420
Alpha-thalassemia mental retardation syndrome,ATR-X症候群,symptom,症状,alpha thalassemia that has material basis in mutation in the ATRX gene on Xq21,,Q2613277
primary sclerosing cholangitis,原発性硬化性胆管炎,symptom,症状,"sclerosing cholangitis characterized by fibroobliterative inflammation of the biliary tract, leading to cirrhosis and portal hypertension",,Q1058608
myasthenia gravis,重症筋無力症,symptom,症状,human disease,アセチルコリンなどの抗体により神経・筋伝達が阻害されるために筋肉の易疲労性や脱力が起こる自己免疫疾患,Q8285
Addison's disease,慢性原発性副腎皮質機能低下症,symptom,症状,adrenal cortical hypofunction that is characterized by insufficient steroid hormone production by the adrenal glands,,Q8282
sideroblastic anaemia P,鉄芽球性貧血,symptom,症状,aplastic anemia where the bone marrow produces ringed sideroblasts rather than healthy red blood cells (erythrocytes),,Q2610084
familial hypercholesterolemia,家族性高コレステロール血症,symptom,症状,familial hyperlipidemia characterized by very high levels of low-density lipoprotein (LDL) and early cardiovascular disease,,Q2711291
Charcot–Marie–Tooth disease,シャルコー・マリー・トゥース病,symptom,症状,"neuromuscular disease that is characterized by a slowly progressive degeneration of the muscles of the foot, lower leg, hand and forearm",,Q1052687
congenital myopathy,先天性ミオパチー,symptom,症状,human disease,フロッピーインファント症状を引き起こす疾患群,Q112412
ulcerative colitis,潰瘍性大腸炎,symptom,症状,inflammatory bowel disease that causes ulcers in the colon,大腸の粘膜に潰瘍や糜爛を生じる炎症性疾患,Q1477
Churg-Strauss syndrome,アレルギー性肉芽腫性血管炎,symptom,症状,"a systemic vasculitis realized as blood vessel inflammation, with symptoms asthma along with hay fever, rash and gastrointestinal bleeding",,Q32811
Korsakoff's syndrome,コルサコフ症候群,symptom,症状,mental illness caused by a lack of thiamine in the brain,健忘症・明示的記憶の障害・作話などの特徴を持つ中枢神経系障害,Q622901
chronic inflammatory demyelinating polyradiculoneuropathy,慢性炎症性脱髄性多発神経炎,symptom,症状,acquired immune-mediated inflammatory disorder of the peripheral nervous system,,Q1088030
ankylosing spondylitis,強直性脊椎炎,symptom,症状,type of arthritis in which there is long term inflammation of the joints of the spine,,Q52849
stapedectomy,アブミ骨切除術,surgery,外科手術,surgical procedure of the middle ear performed to improve hearing,,Q615857
Dissociative Experiences Scale,解離体験尺度,surgery,外科手術,questionnaire to screen for dissociative identity disorder,,Q1229320
computed tomography,コンピュータ断層撮影,surgery,外科手術,medical imaging procedure using X-rays to produce cross-sectional images,放射線を用いて、物体の内部をスライス画像化して観察できるようにする技術,Q32566
Myers-Briggs Type Indicator,MBTI,surgery,外科手術,model of personality types,アメリカで提唱された、類型論に基づくパーソナリティ検査(性格検査）,Q897939
ELISA,ELISA,surgery,外科手術,assay,試料の分析方法,Q332126
pneumonectomy,肺切除,surgery,外科手術,surgical removal of a lung,,Q46565
splenectomy,脾臓摘出術,surgery,外科手術,surgical removal of part or all of a spleen,,Q580383
dual-energy X-ray absorptiometry,二重エネルギーX線吸収測定法,surgery,外科手術,diagnostic test for bone mineral density testing,,Q444351
fine-needle aspiration,生検法,surgery,外科手術,"diagnostic procedure to investigate lumps using a thin needle, for histopathology or cytopathology",,Q180071
oxygen therapy,酸素吸入,surgery,外科手術,use of high concentrations of oxygen as medical treatment,,Q1988216
arthroscopy,関節鏡,surgery,外科手術,medical procedure,,Q708232
Wechsler Memory Scale,ウェクスラー記憶検査,surgery,外科手術,comprehensive battery test to assess the capacity of learning and remembering information,,Q473246
apicoectomy,歯根端切除術,surgery,外科手術,surgical removal of the root tip of a tooth,,Q592565
Cooper test,クーパーテスト,surgery,外科手術,physical fitness test,,Q909284
appendectomy,虫垂切除術,surgery,外科手術,surgical removal of the vermiform appendix,,Q620840
Da Vinci Surgical System,da Vinci,surgery,外科手術,robotic surgical system,インテュイティヴ・サージカル社が開発したマスタースレイブ型内視鏡下手術用の手術用ロボット,Q2323044
radiography,X線撮影,surgery,外科手術,imaging technique using ionizing and non-ionizing radiation,X線を用いて、物体の内部を画像化する技術,Q245341
ophthalmoscopy,眼底検査,surgery,外科手術,"test that allows a health professional to see inside the fundus of the eye and other structures using an ophthalmoscope, crucial in determining the health of the retina, optic disc, and vitreous humor",,Q837188
adrenalectomy,副腎摘出術,surgery,外科手術,surgical removal of the adrenal gland,,Q366774
hysterectomy,子宮摘出術,surgery,外科手術,surgical removal of the uterus,外科的医療処置,Q550675
Sally–Anne test,サリーとアン課題,surgery,外科手術,psychological test,,Q1059391
Baum test,バウムテスト,surgery,外科手術,projective drawing technique developed by Karl Koch,投影法による心理検査のひとつ,Q682553
polymerase chain reaction,ポリメラーゼ連鎖反応,surgery,外科手術,in vitro method for producing large amounts of specific DNA or RNA fragments from small amounts of short oligonucleotide primers,DNAサンプルの特定領域を増幅させる反応または技術,Q176996
colectomy,結腸切除術,surgery,外科手術,bowel resection of the colon,,Q1779148
Generalized Anxiety Disorder 7,全般性不安障害7,surgery,外科手術,seven-item anxiety disorder screening instrument,,Q1484539
Kaufman Assessment Battery for Children,K-ABC,surgery,外科手術,psychological test,,Q1737034
vasectomy,精管切除,surgery,外科手術,surgical procedure for male sterilization,精巣で作られた精子が亀頭先まで流れる精管を切断または縛ることで、精子を含有した精液の放出を遮断する不妊手術,Q690838
Gustav III of Sweden's coffee experiment,グスタフ3世のコーヒー実験,surgery,外科手術,alleged twin study,,Q1281398
Feldenkrais Method,フェルデンクライスメソッド,surgery,外科手術,guild regulated movement education complementary to physical therapy,,Q1402440
house-tree-person test,HTPテスト,surgery,外科手術,"psychological test in which the client is asked to make a drawing that includes a house, a tree and a person, after which the therapist asks several questions about each",心理学のテスト,Q2893010
laminectomy,椎弓切除,surgery,外科手術,surgical procedure that removes a portion of the lamina,,Q1801578
glycemic load,グリセミック負荷,surgery,外科手術,estimate of how much a quantity of food will raise a person's blood glucose level,,Q1929014
Multiple Sleep Latency Test,多睡眠潜伏検査,surgery,外科手術,Diagnostic tool used to diagnose sleep disorders,,Q1664214
Voges-Proskauer test,フォーゲス・プロスカウアー試験,surgery,外科手術,microbiological and biochemical method for identification,,Q74148
