en_label,ja_label,category,en_description,ja_description,qid
age related macular degeneration,加齢黄斑変性,病気,medical condition which may result in blurred or no vision in the center of the visual field,,Q830308
hypopituitarism,下垂体機能低下症,病気,pituitary gland disease characterized by the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland,,Q922411
temporal lobe epilepsy,側頭葉てんかん,病気,Human disease,,Q616667
aphakia,無水晶体症,病気,condition where the eye lacks a lens,水晶体が目にない状態,Q558623
phenylketonuria,フェニルケトン尿症,病気,"amino acid metabolic disorder that is characterized by a mutation in the gene for the hepatic enzyme phenylalanine hydroxylase (PAH), rendering it nonfunctional",,Q194041
Wolff–Parkinson–White syndrome,WPW症候群,病気,"congenital syndrome characterized by additional electrical pathways causing electrical conduction problems in the heart, leading to sporadic episodes of tachycardia and other symptoms.",,Q925092
Fabry disease,ファブリー病,病気,rare human genetic lysosomal storage disorder,,Q615645
ichthyosis,魚鱗癬,病気,"skin disease in which dry, scaly skin accumulates",先天的、または後天的な皮膚病の一種,Q523893
dyskeratosis congenita,先天性角化異常症,病気,rare progressive congenital disorder with a highly variable phenotype,,Q3709312
lymphedema,リンパ水腫,病気,human disease,,Q916398
Huntington's disease,ハンチントン病,病気,"rare neurodegenerative disorder of the central nervous system characterized by unwanted choreatic movements, behavioral and psychiatric disturbances and dementia",遺伝子の第1エクソンのCAGの繰り返し配列が異常に伸びることによる変性疾患,Q190564
antithrombin III deficiency,アンチトロンビン欠乏症,病気,inherited blood coagulation disease characterized by the tendency to form clots in the veins,,Q3704732
hydrocephalus,水頭症,病気,disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain,脳脊髄液が頭蓋腔内に貯まり、脳室が正常より大きくなる病気,Q193003
Williams-Beuren syndrome,ウィリアムズ症候群,病気,"neurodevelopmental disorder caused by a deletion of around 27 genes in chromosome 7, characterized by a broad forehead, underdeveloped chin, short nose, full cheeks, challenges with visual tasks, increased empathy and decreased aggression",まれな遺伝子疾患,Q558077
DiGeorge syndrome,22q11.2欠失症候群,病気,"T cell deficiency disease that is the result of a large deletion of chromosome 22, which includes the DGS gene needed for development of the thymus and related glands with subsequent lack of T-cell production",,Q525642
Legius syndrome,レジウス症候群,病気,rare genetic skin pigmentation disorder characterized by multiple cafe-au-lait macules,,Q890470
Barth syndrome,バース症候群,病気,lipid metabolism disorder that has material basis in X-linked inheritance of the tafazzin gene and is characterized by decreased production of an enzyme required to produce cardiolipin,,Q928424
thrombocytopenia,血小板減少症,病気,blood platelet disease characterized by a low platelet count,,Q585285
nodding disease,頷き病,病気,medical condition,,Q895930
xeroderma pigmentosum,色素性乾皮症,病気,autosomal recessive disease that is characterized by a deficiency in the ability to repair ultraviolet damage that has material basis in autosomal recessive inheritance of DNA repair,,Q612693
adrenocortical carcinoma,副腎皮質癌,病気,adrenal cortex cancer that forms in the outer layer of tissue of the adrenal gland and that has material basis in abnormally proliferating cells derives from epithelial cells,,Q918285
erythromelalgia,肢端紅痛症,病気,Human disease,,Q524353
Cockayne syndrome,コケイン症候群,病気,rare and fatal autosomal recessive neurodegenerative disorder,DNA修復遺伝子の異常による常染色体潜性遺伝性の早老症,Q914389
Antley-Bixler syndrome,アントレー・ビクスラー症候群,病気,autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the FGFR2 gene,,Q585011
Albright's hereditary osteodystrophy,オルブライト遺伝性骨異栄養症,病気,"osteochondrodysplasia that has material basis in lack of responsiveness to parathyroid hormone which results in shortening and widening of long bones of the located in hand or located in foot along with short stature, obesity, and rounded face",,Q4712685
aposthia,先天性無包皮,病気,congenital condition in humans where the foreskin is missing,,Q4780588
Aromatase deficiency,アロマターゼ欠乏症,病気,medical condition,,Q4795506
aromatase excess syndrome,アロマターゼ過剰症候群,病気,human disease,,Q4795508
aphallia,無陰茎症,病気,congenital variation in which the phallus (penis or clitoris) is absent,,Q4779465
myoclonic dystonia,筋クローヌス性ジストニア,病気,"dystonia characterized by myoclonic jerks affecting mostly proximal muscles and dystonia, usually torticollis or writer's cramp, that typically responds to alcohol and has onset in the first of second decade of life",,Q3710440
craniometaphyseal dysplasia,頭蓋骨幹端骨異形成症,病気,osteosclerosis that has material basis in mutations in the ANKH gene which results in progressive thickening located in skull and abnormally shaped ends of long bones in the limbs,,Q3710209
pulmonary tuberculosis,肺結核,病気,human disease,,Q13046587
hymenolepiasis,サナダムシ,病気,Human helminthiasis,,Q12656487
amoebic dysentery,アメーバ赤痢,病気,Human disease,下痢や血便を主症状とする寄生虫感染症,Q15460254
American foulbrood,アメリカ腐蛆病,病気,bee disease,,Q18002779
Pick disease,ピック病,病気,"rare neurodegenerative disorder, characterized by formation of Pick bodies",,Q18576
lung cancer,肺癌,病気,cancer in the lung,肺に発生する上皮細胞由来の悪性腫瘍,Q47912
Group A streptococcal infection,A群溶連菌感染症,病気,human disease,,Q13587764
hyperthyroidism,甲状腺機能亢進症,病気,thyroid gland disease that involves an overproduction of thyroid hormone,,Q16499
Far East scarlet-like fever,仮性結核,病気,Human disease,人獣共通細菌感染症の一つ,Q18371582
virulent Newcastle disease,ニューキャッスル病,病気,bird disease,鳥類のパラミクソウイルス感染症,Q11903425
homocystinuria,ホモシスチン尿症,病気,amino acid metabolic disorder that involves an accumulation of homocysteine in the serum and an increased excretion of homocysteine in the urine,,Q994859
atrial heart septal defect,心房中隔欠損,病気,heart septal defect located in the septum that separates the two atria of the heart,,Q757749
Pelger-Huet anomaly,ペルゲル・ヒュエット異常症,病気,Human disease,,Q975182
Ohtahara syndrome,大田原症候群,病気,neonatoal period electroclinical syndrome that is characterized by tonic spasms and partial seizures,,Q649602
ciliopathy,繊毛病,病気,"genetic disease associated with mutations encoding defective proteins, which result in either abnormal function formation or function of cilia",,Q203031
McLeod syndrome,マクロード症候群,病気,rare disease,,Q966149
Li-Fraumeni syndrome,Li-Fraumeni症候群,病気,"autosomal dominant disease characterized by increased risk of developing several types of cancer, including breast cancer, osteosarcomata and soft tissue sarcomata",,Q187542
prolactinoma,プロラクチノーマ,病気,adenoma of the pituitary gland producing prolactin,,Q954831
acromegaly,先端巨大症,病気,Human disease / micro cephaly opposite,,Q189580
keratoconus,円錐角膜,病気,"corneal disease characterized by structural changes within the cornea causing it to thin and change, leading to a protruding conical shape",,Q611984
precocious puberty,性的早熟,病気,human disease,,Q224513
juvenile polyposis syndrome,若年性ポリープ,病気,"autosomal dominant disease that is characterized by predisposition to hamartomatous benign polyps in the gastrointestinal tract, specifically in the stomach, small intestine, colon, and rectum",,Q609165
central core myopathy,セントラルコア病,病気,Human disease,,Q638975
Menkes disease,メンケス病,病気,Human disease,,Q639203
autosomal recessive congenital ichthyosis,常染色体劣性遺伝性魚鱗癬,病気,congenital skin disease,,Q266421
progeria,ハッチンソン・ギルフォード・プロジェリア症候群,病気,genetic disorder that causes early aging,先天的遺伝子異常を原因とする早老症のひとつ,Q213098
stuttering,吃音症,病気,"speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds",言葉が円滑に話せない、スムーズに言葉が出てこないこと,Q186676
dilated cardiomyopathy,拡張型心筋症,病気,disease characterized by an enlarged heart,,Q283656
alpha-1-antitrypsin deficiency,α1-アンチトリプシン欠乏症,病気,genetic disorder that may result in lung disease or liver disease,,Q622437
variegate porphyria,異型ポルフィリン症,病気,Human disease,,Q275385
pycnodysostosis,濃化異骨症,病気,"osteochondrodysplasia that has material basis in a mutation in the CTSK gene which results in dwarfism, brittle bones, osteopetrosis, shortening of the distal phalanges",,Q974928
visceral heterotaxy,内臓異位症,病気,rare disease,,Q203115
alkaptonuria,アルカプトン尿症,病気,"amino acid metabolic disorder that involves phenylalanine and tyrosine metabolism with the accumulation of homogentisic acid, a toxic tyrosine byproduct",,Q651680
prune belly syndrome,プルーンベリー症候群,病気,pediatrics cases,,Q250354
polycystic liver disease,多発肝嚢胞症,病気,human disease,,Q246002
enteric redmouth disease,レッドマウス病,病気,bacterial infection of freshwater and marine fish,,Q606895
congenital central hypoventilation syndrome,先天性中枢性肺胞低換気症候群,病気,Human disease,,Q979129
autoimmune thrombocytopenic purpura,特発性血小板減少性紫斑病,病気,primary thrombocytopenia that involves relatively few platelets in blood as a result of autoantibodies,,Q638729
XY gonadal dysgenesis,XY型性腺形成異常症,病気,"gonadal dysgenesis that is characterized by a normal 46,XY karyotype along with a progressive loss of germ cells on the developing gonads of an embryo",,Q957751
Marfan syndrome,マルファン症候群,病気,genetic disorder of the connective tissue,,Q208562
premature ovarian failure,早発卵巣不全,病気,ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40,,Q647630
melanoma,悪性黒色腫,病気,malignant neoplasm originating from melanocytes,皮膚、眼窩内組織、口腔粘膜上皮などに発生するメラノサイト由来の悪性腫瘍,Q180614
gestational trophoblastic neoplasm,胞状奇胎,病気,Human disease,,Q881855
Bruton-type agammaglobulinemia,X連鎖無ガンマグロブリン血症,病気,human disease,,Q283108
postural orthostatic tachycardia syndrome,体位性起立性頻拍症候群,病気,condition in which a change from lying to standing causes an abnormally large increase in heart rate,,Q620760
pemphigus foliaceus,落葉状天疱瘡,病気,autoimmune blistering disease,,Q263609
Roberts syndrome,ロバーツ症候群,病気,Human disease,,Q619428
dysautonomia,自律神経不全,病気,"any disease or malfunction, mostly of neurogenic origin, of the autonomic nervous system",神経疾患による自律神経機能低下等の総称,Q620639
amyotrophic lateral sclerosis,筋萎縮性側索硬化症,病気,rare neurodegenerative disease with amyotrophy and progressive paralysis,筋肉の萎縮と筋力低下をもたらす神経変性疾患,Q206901
long QT syndrome,QT延長症候群,病気,condition involving delayed repolarization of the heart during the heartbeat cycle,,Q653924
Tourette syndrome,トゥレット症候群,病気,neurodevelopmental condition,多種類の運動チックと一種類以上の音声チックが1年以上続いている症状を特徴とする発達障害,Q191779
avian tuberculosis,鶏結核病,病気,birds disease,,Q11675828
2-methylbutyryl-CoA dehydrogenase deficiency,2-メチルブチリルCoAデヒドロゲナーゼ欠損症,病気,gene (located on chromosome 10q25-26) have been reported in affected patients. Treatment includes carnitine supplementation and a low-protein diet.,,Q4596905
Weaver syndrome,ウィーバー症候群,病気,human disease,常染色体顕性型遺伝疾患,Q4348144
nontuberculous mycobacterial infectious disease,非結核性抗酸菌症,病気,Human disease,,Q11663754
West Nile fever,ウエストナイル熱,病気,human disease,カが媒介するウイルス性脳炎,Q11627066
ancylostomiasis,鉤虫症,病気,human disease,,Q11679861
infectious disease of the nervous system,神経系感染症,病気,infectious disease that involves the nervous system,,Q10336461
ROHHAD,ROHHAD症候群,病気,medical condition,,Q4420133
acute hemorrhagic conjunctivitis,急性出血性結膜炎,病気,Human disease,,Q11491562
vesicular exanthema of swine,豚水疱疹,病気,swine disease,,Q11634314
swine erysipelas,豚丹毒,病気,non-human Erysipelothrix rhusiopathiae infection (obsolete DOID),,Q11634308
Dent disease,デント病,病気,congenital disorder of urinary system,,Q4420121
autoimmune polyendocrine syndrome type 1,多腺性自己免疫症候群-I型,病気,"autoimmune polyendocrine syndrome that is inherited in an autosomal recessive fashion, which is characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs",,Q4347774
vesicular stomatitis,水疱性口内炎,病気,,,Q11549084
