en_label,ja_label,category,en_description,ja_description,qid
XYY syndrome,XYY症候群,病気,genetic condition in which a male has an extra Y chromosome,男児にY染色体が1本余分にある先天性染色体異常,Q267602
hypersexuality,異常性欲,病気,excessive arousal and interest in sex,量的または質的に異常な性欲,Q267907
Gerstmann-Straussler-Scheinker syndrome,ゲルストマン・ストロイスラー・シャインカー症候群,病気,"prion disease characterized by adult onset of memory loss, dementia, ataxia, and pathologic deposition of amyloid-like plaques in the brain",中枢神経の遺伝性疾患,Q383228
wart,イボ,病気,"small, rough growth resembling a cauliflower or a solid blister, often found on hands",皮膚や粘膜に生じる結節の総称,Q101971
rickets,くる病,病気,human disease,カルシウム・リン・ビタミンDなどの摂取不足・代謝異常によって、骨形成過程の石灰化が正常にならず、弱い骨となる病気,Q183392
yellow fever,黄熱,病気,viral disease,カが媒介するウイルス性出血熱,Q154874
actinomycosis,放線菌症,病気,Human disease,人間の病気,Q422268
dwarfism,小人症,病気,"condition affecting a person or animal short in stature, caused by slow or delayed growth",顕著な低身長を示す病態,Q194101
cardiac arrest,心停止,病気,sudden stop in effective blood flow due to the failure of the heart to contract effectively,心臓が有効な血液循環を保てない状態,Q202837
hydrocephalus,水頭症,病気,disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain,脳脊髄液が頭蓋腔内に貯まり、脳室が正常より大きくなる病気,Q193003
melancholia,メランコリー,病気,mood disorder of non-specific depression,日常的な用法では、はればれしない落ち込んだ気分のこと,Q192077
Lyme disease,ライム病,病気,"infectious disease caused by Borrelia bacteria, spread through the bite of blacklegged ticks",一種のスピロヘータの感染で引き起こされる人獣共通感染症の一つ,Q201989
Tourette syndrome,トゥレット症候群,病気,neurodevelopmental condition,多種類の運動チックと一種類以上の音声チックが1年以上続いている症状を特徴とする発達障害,Q191779
anogenital venereal wart,尖圭コンジローマ,病気,sexually transmitted disease,HPVによって感染する性行為感染症,Q208726
acrophobia,高所恐怖症,病気,phobia specific to heights,高い場所に対する恐怖症,Q207783
progeria,ハッチンソン・ギルフォード・プロジェリア症候群,病気,genetic disorder that causes early aging,先天的遺伝子異常を原因とする早老症のひとつ,Q213098
trench fever,塹壕熱,病気,human disease,グラム陰性細菌の一種であるバルトネラ・クインタナを原因菌とし、コロモジラミが媒介する感染症。第一次世界大戦中、塹壕内の兵士の間で流行した。約5日の間隔で発熱や悪寒を繰り返すことから、「五日熱」の異名を持つ,Q393477
psychomotor agitation,精神運動性激越,病気,a set of signs and symptoms that stem from mental tension and anxiety; the signs are unintentional and purposeless motions; the symptoms are emotional distress and restlessness,精神的な緊張や不安から生じる一連の兆候と症状。兆候は意図的でない無目的な動きであり、症状は感情的な苦痛と落ち着きのなさである。,Q394129
sleepwalking,睡眠時遊行症,病気,phenomenon of combined sleep and wakefulness,睡眠中にもかかわらず体動が出現しぼんやりと歩き回る症状,Q388626
savant syndrome,サヴァン症候群,病気,"psychological disorder that turns people to a megasavant, with a serious mental disorder",自閉症や知的障害の人のうち極稀に見られる、ある特定分野でのみ非常に優れた能力を示す症状,Q467265
decompression sickness,減圧症,病気,disorder caused by dissolved gases emerging from solution,減圧によって過飽和の状態となった生理的に不活性なガスの気泡が体内組織や血管に形成され引き起こされる障害,Q460591
dysgraphia,書字障害,病気,developmental or acquired neurological disorder,発達または後天的な神経学的状態,Q584560
pneumothorax,気胸,病気,abnormal collection of air in the pleural space,肺の疾患,Q203601
anti-NMDA receptor encephalitis,抗NMDA受容体抗体脳炎,病気,rare disease,急性型の脳炎,Q574719
Guillain–Barré syndrome,ギラン・バレー症候群,病気,autoimmune disease that causes the immune system to attack part of the peripheral nervous system,主に感染症をきっかけに発症する急性の炎症性多発神経障害であり、自己免疫反応による攻撃によって末梢神経根に炎症を引き起こす自己免疫疾患,Q205214
spinal muscular atrophy,脊髄性筋萎縮症,病気,rare congenital neuromuscular disorder,脊髄の運動ニューロン(脊髄前角細胞)の病変によって起こる 神経原性の筋萎縮を起こす先天性遺伝子疾患,Q580290
sciatica,坐骨神経痛,病気,medical condition with pain down the leg from the lower back,運動器領域の神経症状,Q565276
anorexia nervosa,神経性無食欲症,病気,type of eating disorder,痩せに対する執着・体重増加への極端な恐怖による低体重を特徴とする精神疾患,Q131749
hemophilia,血友病,病気,"human genetic disease that impairs the body's ability to make blood clots, a process needed to stop bleeding",血液凝固因子のうちVIII因子、IX因子の欠損ないし活性低下による遺伝性血液凝固異常症,Q134003
dyslexia,ディスレクシア,病気,specific learning disability characterized by troubles with reading,文字の読み書きに関する学習障害,Q132971
Edwards syndrome,エドワーズ症候群,病気,human disease,自然流産や生命予後など生存率が非常に厳しい、18番染色体の全部または一部分が3本ある染色体異常症,Q457737
Meniere's disease,メニエール病,病気,"disorder of the inner ear, characterized by potentially severe and incapacitating episodes of vertigo, tinnitus, hearing loss, and a feeling of fullness in the ear",内耳のリンパが増えて水ぶくれの状態となることで、激しい回転性のめまいと難聴・耳鳴り・耳閉感の4症状が同時に重なる症状を繰り返す疾患,Q460167
hysteria,ヒステリー,病気,"former diagnostic category describing a state of mind, one of unmanageable fear or emotional excesses",かつて「転換性障害・解離性障害」を一緒くたに意味した医学用語、または感情の自己抑制が効かず爆発的に激しい興奮・怒哀をむき出し状態を意味する俗語,Q144119
chlamydia infection,性器クラミジア感染症,病気,sexually transmitted infection caused by the bacterium Chlamydia trachomatis,クラミジア・トラコマチスが性交や性交類似行為によって、感染部位の粘膜との接触・分泌物との接触にで感染する性病,Q153356
foot-and-mouth disease,口蹄疫,病気,infectious and sometimes fatal viral disease that affects cloven-hoofed animals and caused by apthovirus,口蹄疫ウイルスによる家畜伝染病,Q152401
diphtheria,ジフテリア,病気,infectious disease,ジフテリア毒素によって起こる上気道の粘膜感染症,Q134649
floater,飛蚊症,病気,"deposits of various size, shape, consistency, refractive index, and motility within the eye's vitreous humour, which is normally transparent",視覚に発生する現象,Q142807
rubella,風疹,病気,human viral disease,風疹ウイルスにより伝染するウイルス感染症,Q155857
sleep paralysis,金縛り,病気,phenomenon,睡眠麻痺,Q486851
delirium,せん妄,病気,"severe confusion that develops quickly, and often fluctuates in intensity",一時的に意識障害・認知機能の低下などが生じる精神状態,Q160796
brucellosis,ブルセラ症,病気,Human and animal disease,ブルセラ属の細菌への感染で発症する人獣共通感染症,Q156050
ephebophilia,エフェボフィリア,病気,"sexual preference characterized by sexual attraction to adolescents, usually those in the range 15/16–18/19",15～19歳へ性的魅力を感じる性的嗜好,Q595012
Minamata disease,水俣病,病気,"a severe neurological disease caused by mercury poisoning, first discovered in the Japanese city of Minamata.",日本の公害病、メチル水銀による中毒性中枢神経系疾患,Q338857
heat stroke,熱射病,病気,"failure of the body to dissipate heat in an excessively hot environment, or during physical exertion",40℃を超える体温とせん妄を生じさせる重度の熱中症の一つ,Q337554
causes of schizophrenia,統合失調症の原因,病気,risk factors related to schizophrenia,統合失調症の発病因子と考えられる仮説・要素,Q490123
hepatitis A,A型肝炎,病気,acute infectious disease of the liver,食品が媒介するウイルス性肝炎,Q157661
experimental autoimmune encephalomyelitis,実験的自己免疫性脳脊髄炎,病気,Animal model of brain inflammation,脳炎の動物実験モデル,Q494066
aphakia,無水晶体症,病気,condition where the eye lacks a lens,水晶体が目にない状態,Q558623
earworm,イヤーワーム,病気,catchy piece of music that continually repeats through a person's mind after it is no longer playing,歌または音楽の一部分が心の中で強迫的に反復される現象,Q555631
apathy,アパシー,病気,state of indifference or the suppression of emotions; lack of interest or enthusiasm,感情がなくなった状態,Q309406
ichthyosis,魚鱗癬,病気,"skin disease in which dry, scaly skin accumulates",先天的、または後天的な皮膚病の一種,Q523893
Wilson disease,肝レンズ核変性症,病気,multisystem disease due to abnormal accumulation of copper,先天性銅代謝異常によって無機銅が代謝されずに蓄積し、大脳のレンズ核の変性と共に肝硬変・角膜輪等を生ずる疾患,Q117121
appendicitis,虫垂炎,病気,inflammation of the appendix,虫垂に炎症が起きている状態,Q121041
type-1 diabetes,1型糖尿病,病気,"autoimmune disease, a form of diabetes mellitus that occurs when insulin-producing cells are destroyed by the immune system",膵臓のインスリン産生細胞が自己免疫により破壊され、血糖値を下げる働きを持つインスリンの欠乏を原因とする、生活習慣とは無関係の糖尿病,Q124407
Williams-Beuren syndrome,ウィリアムズ症候群,病気,"neurodevelopmental disorder caused by a deletion of around 27 genes in chromosome 7, characterized by a broad forehead, underdeveloped chin, short nose, full cheeks, challenges with visual tasks, increased empathy and decreased aggression",まれな遺伝子疾患,Q558077
dysentery,赤痢,病気,inflammation of the intestine causing diarrhea with blood,下痢や血便を主症状とする大腸の感染症,Q129279
febrile seizure,熱性けいれん,病気,seizure associated with a high body temperature,温度が38°Cを超えると発生する発作,Q127664
neural tube defect,神経管閉鎖障害,病気,congenital disorder of the nervous system,無脳症や二分脊椎など妊娠初期に起こる神経管の形成障害で起こる胎児の先天異常,Q548213
anthrax,炭疽症,病気,infection caused by Bacillus anthracis bacteria,炭疽菌を病原体とする細菌感染症,Q129104
motion sickness,乗り物酔い,病気,condition in which a disagreement exists between visually perceived movement and the vestibular system's sense of movement,各種の乗り物が発する揺れなどによって、三半規管が刺激されることで起こる身体の諸症状,Q309067
myiasis,ハエ蛆症,病気,parasitic ectoparasitic infectious disease that is caused by parasitic dipterous fly larvae (maggots) feeding on the host's necrotic or living tissue,ハエの幼虫が生きた哺乳類の体内に侵入することによって発生する感染症,Q304601
Takayasu's arteritis,高安動脈炎,病気,"large vessel granulomatous vasculitis, massive intimal fibrosis and vascular narrowing.",大動脈に炎症が起こる自己免疫疾患,Q432462
intrusive thought,侵入思考,病気,"unwelcome involuntary thought, image, or unpleasant idea that may become an obsession",強迫的な性格を有する、望まない非自発的な思考、イメージ、不愉快な考え,Q1671614
ornithosis,オウム病,病気,disease,主に鳥類経由で気道感染症を引き起こす人獣共通感染症,Q164727
Q fever,Q熱,病気,disease caused by infection with Coxiella burnetii,人獣共通感染症の1つ,Q164818
Klinefelter's syndrome,クラインフェルター症候群,病気,human chromosomal condition,性分化疾患に分類される一連の症候群,Q207133
ciguatera,シガテラ,病気,foodborne illness,プランクトンが産生する毒素によって発生する食中毒のひとつ,Q181831
trichotillomania,抜毛症,病気,impulse control disorder with uncontrollable hair pulling,正常な毛を引き抜いてしまう精神障害のひとつ,Q608259
metastasis,転移,病気,spread of a disease inside a body,腫瘍細胞が原発病変とは違う場所に到達し、そこで再び増殖し、同一種類の腫瘍を二次的に生じること,Q181876
adult attention deficit hyperactivity disorder,大人のADHD,病気,the neurobiological condition of attention deficit hyperactivity disorder (ADHD) in adults,多動性のみ幼少期よりも改善した状態のADHD,Q1812920
necrophilia,屍姦,病気,"pathological attraction to dead bodies, especially sexual attraction or intercourse",死体と性交すること、または死体に欲情する性的嗜好のこと,Q181843
amyotrophic lateral sclerosis,筋萎縮性側索硬化症,病気,rare neurodegenerative disease with amyotrophy and progressive paralysis,筋肉の萎縮と筋力低下をもたらす神経変性疾患,Q206901
tularemia,野兎病,病気,"primary bacterial infectious disease that has material basis in Francisella tularensis, which is transmitted by dog tick bite (Dermacentor variabilis), transmitted by deer flies (Chrysops sp) or transmitted by contact with infected animal tissues.",野兎病菌Francisella tularensisを原因とする人獣共通感染症,Q153861
Sjögren's syndrome,シェーグレン症候群,病気,hypersensitivity reaction type II disease affecting the exocrine glands,自己免疫疾患の一つ,Q335555
survivor guilt,サバイバーズ・ギルト,病気,a mental condition that occurs when a person believes they have done something wrong by surviving a traumatic or tragic event when others did not,戦争や災害、事故、事件、虐待などから奇跡的に生還を遂げた人が「周りの人々が亡くなったのに自分が助かった」ことに対して感じる罪悪感,Q332768
abnormal kyphosis,脊椎後彎症,病気,abnormal convex curvature of the spine,人間の背中が丸まって内側へ反り、頭部が前方に出た姿勢になる現象,Q478389
bovine spongiform encephalopathy,牛海綿状脳症,病気,counterpart in cattle to variant Creutzfeldt-Jakob disease,感染症の一つ,Q154666
complex post-traumatic stress disorder,複雑性PTSD,病気,variant of post-traumatic stress disorder typically caused by ongoing abuse or stressful environment,長期反復的なトラウマ体験の後にしばしば見られる、感情などの調整困難を伴う心的外傷後ストレス障害,Q477502
yips,イップス,病気,condition of sudden skill or control loss in an athlete,主にスポーツの動作に支障をきたし、自分の思い通りの動きができなくなる症状,Q476373
conjunctivitis,結膜炎,病気,inflammation of the outermost layer of the eye and the inner surface of the eyelids,結膜にできる炎症,Q167844
Marburg virus disease,マールブルグ熱,病気,human disease,マールブルグウイルスを原因とする、人獣共通感染症,Q167264
scabies,疥癬,病気,human disease,ヒゼンダニの寄生により発症する皮膚感染症のひとつ,Q167178
phantom vibration syndrome,幻想振動症候群,病気,Perception that one's mobile phone is vibrating or ringing when it is not,スマートフォンなどに着信が無いが、着信があった時のように振動したと錯覚する現象,Q3242773
type 2 diabetes,2型糖尿病,病気,type of diabetes mellitus with high blood sugar and insulin resistance,高血糖症、インスリン抵抗性、相対的インスリン不足が特徴の長期的代謝異常,Q3025883
tennis elbow,テニス肘,病気,"condition caused by repetitive movements in which the outer elbow becomes sore and tender, sometimes involving inflammation or small tendon tears",テニスによって肘部に生じる疼痛性運動障害の総称,Q736776
Yushō disease,カネミ油症事件,病気,mass poisoning in Japan,1960年代に日本で発生した油症事件,Q359288
scarlet fever,猩紅熱,病気,human disease,連鎖球菌により媒介する発疹性の伝染病のひとつ,Q180266
burusera,ブルセラ,病気,"clothing paraphilia, sexualized attraction to the underwear or school uniforms",アダルトグッズとして流通する中古の学校用衣料品,Q2725587
1918-1920 flu pandemic,スペインかぜ,病気,1918–1920 global influenza pandemic caused by the H1N1 influenza A virus,1918～1919年に世界的に流行したインフルエンザ,Q178275
disorientation,失見当識,病気,psychopathological symptom,見当識を失った状態,Q1895873
conjoined twins,結合双生児,病気,twins physically joined in utero,体が結合している双生児,Q216866
adenocarcinoma,腺癌,病気,"carcinoma that has material basis in abnormally proliferating cells, derives from epithelial cells, which originate in glandular tissue",腺組織に由来する癌,Q356033
Abby and Brittany Hensel,アビゲイル&ブリタニー・ヘンゼル姉妹,病気,American conjoined twins,アメリカ合衆国の結合双生児,Q1639228
congenital rubella syndrome,先天性風疹症候群,病気,human disease,妊娠中の風疹ウイルス感染で生じ、胎児へ難聴・先天性心疾患・白内障などの先天性障害を発症させるウイルス感染症,Q1724539
strabismus,斜視,病気,eyes not aligning when looking at something,目の症状のひとつ,Q179951
asthenia,無力症,病気,symptom,筋力が弱くなる症状,Q633403
otitis media,中耳炎,病気,otitis which involves inflammation of the middle ear,中耳に炎症が起こる病気,Q223254
hypertrophy,肥大,病気,increase in the volume of an organ or tissue due to the enlargement of its component cells,組織あるいは器官が通常の容積よりも大きさを増した状態,Q216211
toxic epidermal necrolysis,中毒性表皮壊死症,病気,Severe skin reaction,全身の皮膚表皮が真皮と分離して重篤な感染症を招く皮膚障害。スティーブンス・ジョンソン症候群(SJS)と連続した概念。,Q1878682
Cushing's syndrome,クッシング症候群,病気,adrenal gland overactivity caused by a tumor of the pituitary gland or by medication,慢性の糖質コルチコイド過剰による症候群,Q219102
moya moya disease,もやもや病,病気,cerebral arterial disease characterized by constriction of certain arteries at the base of the brain; blood flow is blocked by the constriction and also by blood clots,脳底部に異常血管網がみられる脳血管障害,Q1951267
melanoma,悪性黒色腫,病気,malignant neoplasm originating from melanocytes,皮膚、眼窩内組織、口腔粘膜上皮などに発生するメラノサイト由来の悪性腫瘍,Q180614
psychopathy,精神病質,病気,"personality disorder characterized by persistent antisocial behavior, impaired empathy and remorse, and bold, disinhibited, and egotistical traits",持続的な反社会的行動、共感力と反省力の低さ、大胆で抑制力のない利己的な人格を特徴とするパーソナリティ障害,Q366886
fear of needles,注射恐怖症,病気,phobia of medical procedures involving injections or needles,恐怖症の一種,Q169922
congenital adrenal hyperplasia,先天性副腎過形成症,病気,steroid inherited metabolic disorder that is characterized by adrenal insufficiency and variable degrees of hyper- or hypo-androgeny manifestations resulting from steroidogenic enzyme deficiency,副腎皮質におけるステロイドホルモンの産生過程に必要な酵素が先天的に欠損している常染色体潜性遺伝病,Q366868
Alice in Wonderland syndrome,不思議の国のアリス症候群,病気,neuropsychological condition,ものの大きさに関する様々な主観的イメージの変容を引き起こす症候群,Q649340
cat-scratch disease,猫ひっかき病,病気,human disease,猫から感染する人獣共通感染症の一つ,Q639776
high-functioning autism,高機能自閉症,病気,"people with autism who are deemed to be cognitively ""higher functioning"" (with an IQ of 70 or greater) than other people with autism",自閉症スペクトラム障害のうち、知的障害はないものの言語障害はある発達障害,Q1788847
mesenteric ischemia,上腸間膜動脈血栓症,病気,medical condition,消化管への血流が遮断されることにより消化管が壊死してしまう病気,Q221463
Chagas disease,シャーガス病,病気,human disease,原虫トリパノソーマ・クルージの感染を原因とする人獣共通感染症,Q649558
urophagia,飲尿,病気,consumption of urine,尿を飲むこと,Q1779312
nephrogenic diabetes insipidus,腎性尿崩症,病気,impaired renal function disease characterized by a complete or partial resistance of the kidneys to arginine vasopressin (AVP),ADHの効力低下により腎臓での水の再吸収機能が低下することにより発症する疾患,Q2892779
pterygium,翼状片,病気,triangular tissue growth on the cornea of the eye,結膜下組織の異常増殖,Q1862972
menopause,更年期障害,病気,when menstrual periods stop permanently,性腺ホルモンの低下に起因する症候群,Q177708
metabolic syndrome,メタボリックシンドローム,病気,"disease diagnosed by a cluster of at least 3 out of the following conditions: abdominal obesity, high blood pressure, high blood sugar, high serum triglycerides, low serum high-density lipoprotein",内臓脂肪型肥満に高血糖・高血圧・脂質異常症のうち2つ以上の症状が一度に出ている状態,Q657193
psychological trauma,心的外傷,病気,type of damage to the psyche that occurs as a result of a severely distressing event,ある出来事がきっかけで心に傷を負う状態,Q654426
urinary tract infection,尿路感染症,病気,infection that affects part of the urinary tract,尿路に病原体が生着して起こる感染症,Q221668
dermatophytosis,白癬,病気,fungal infection of the skin,皮膚感染症の一つ,Q1909343
hyperekplexia,びっくり病,病気,"nervous system disease characterized by an exaggerated startle response to sudden, unexpected auditory or tactile stimuli and hypertonia",不意をつく音や接触などにより筋痙攣・硬直が誘発される非常に稀な病気,Q1781802
sarcopenia,サルコペニア,病気,progressive decline in muscle mass due to aging,筋肉量および筋力の低下を特徴とする症候群,Q1787939
Ramsay Hunt syndrome,ラムゼイ・ハント症候群,病気,unrelated neurological syndromes described by James Ramsay Hunt,ウィキメディアの曖昧さ回避ページ,Q2697371
cleft lip and cleft palate,口唇口蓋裂,病気,congenital malformations caused by the failure of embryonic structures of the lip and/or palate to fuse,口蓋が閉じていない、または口唇に裂け目がある先天性異常のひとつ,Q222634
oral candidiasis,口腔カンジダ症,病気,fungal infection of the mucous membrane of the mouth by Candida species,常在菌であるカンジダが口腔内で過剰増殖したことで起きる炎症,Q2886899
insomnia,不眠症,病気,inability to sleep peacefully,必要に応じた入眠や眠り続けることができない睡眠障害,Q1869874
coulrophobia,道化恐怖症,病気,fear of clowns,ピエロに対する恐怖症,Q1773212
flat feet,扁平足,病気,human foot arch that is very low,土踏まずがない足,Q653200
omorashi,失禁,病気,Bladder incontinence fetishism,自分の意思によらずに小便または大便を排泄すること,Q3046513
muscular disease,ミオパチー,病気,"disease in which the muscle fibers do not function, resulting in muscular weakness",筋肉の疾患の総称,Q692536
subarachnoid hemorrhage,クモ膜下出血,病気,bleeding into the subarachnoid space,脳を覆うクモ膜の下の[クモ膜下腔]に出血した状態,Q693442
Chang and Eng Bunker,チャン&エン・ブンカー兄弟,病気,Thai-American conjoined twin brothers,結合双生児,Q660581
herpangina,ヘルパンギーナ,病気,Human disease,ウイルス性疾患,Q665258
spinal disc herniation,椎間板ヘルニア,病気,disease,ヘルニアの一つ,Q697117
biphobia,バイフォビア,病気,antagonism or disgust directed toward bisexuality as an identity or bisexual people due to their sexuality,バイセクシュアルの人々に対する差別・偏見・憎悪・恐怖,Q747592
septic shock,敗血症性ショック,病気,"medical condition defined as sepsis that has circulatory, cellular and metabolic abnormalities, is associated with clinical severity and greater risk of dying.",細菌・ウイルス・真菌・寄生虫などの感染症に対する過剰な免疫反応が制御不能となることで多臓器機能障害と循環障害を伴い、命を脅かす状態に至る敗血症の最重症の病態,Q1765564
Korsakoff's syndrome,コルサコフ症候群,病気,mental illness caused by a lack of thiamine in the brain,健忘症・明示的記憶の障害・作話などの特徴を持つ中枢神経系障害,Q622901
noble rot,貴腐,病気,"beneficial form of a grey fungus, Botrytis cinerea, affecting wine grapes",白ワイン用のブドウにおける現象,Q749342
selective mutism,場面緘黙症,病気,anxiety disorder causing inability to speak under certain circumstances,主に子供に見られ、家庭内など特定の場以外となると緘黙になる不安症群,Q377493
adult T-cell leukemia/lymphoma,成人T細胞白血病,病気,human disease,末梢性T細胞腫瘍,Q379054
dysautonomia,自律神経不全,病気,"any disease or malfunction, mostly of neurogenic origin, of the autonomic nervous system",神経疾患による自律神経機能低下等の総称,Q620639
adrenal gland neoplasm,副腎腫瘍,病気,neoplasm (disease) that involves the adrenal gland,副腎における腫瘍性病変,Q4684715
1858 Bradford sweets poisoning,ブラッドフォード毒入り菓子中毒事件,病気,arsenic poisoning in United Kingdom,イギリスの事件,Q4554978
hereditary hemorrhagic telangiectasia,ランデュー・オスラー・ウェーバー症候群,病気,genetic disorder involving capillaries,血管奇形を起こす遺伝性疾患。遺伝性出血性毛細血管拡張症あるいは遺伝性出血性末梢血管拡張症。,Q776881
Ganser syndrome,拘禁反応,病気,rare dissociative disorder previously classified as a factitious disorder,強制的に自由を抑圧される環境に置かれた人に表れる人格の変化,Q911160
hypereosinophilic syndrome,慢性好酸球性白血病/特発性好酸球増加症候群,病気,unexplained chronic eosinophila,原因不明の好酸球増加を特徴とする血液疾患,Q2551272
aporophobia,貧困恐怖症,病気,fear or hostility towards poor people,貧困・貧しい人々に対する恐怖心や敵意,Q5701611
Behçet's disease,ベーチェット病,病気,rare immune-mediated small-vessel systemic vasculitis in humans,再発・寛解を繰り返す原因不明の慢性疾患で、自己免疫疾患の一つ,Q911427
aichmophobia,先端恐怖症,病気,fear of sharp objects,限局性恐怖症の一種,Q2268045
stable angina,労作性狭心症,病気,,労作時に誘発される狭心症,Q3617336
Cockayne syndrome,コケイン症候群,病気,rare and fatal autosomal recessive neurodegenerative disorder,DNA修復遺伝子の異常による常染色体潜性遺伝性の早老症,Q914389
angiostrongyliasis,広東住血線虫症,病気,parasitic helminthiasis infectious disease by Angiostrongylus cantonensis or Angiostrongylus costaricensis,消化器や髄膜、視神経を侵す寄生虫による疾患,Q2558586
pervasive developmental disorder not otherwise specified,特定不能の広汎性発達障害,病気,neurodevelopmental condition,自閉症スペクトラム障害の分野の一つ,Q3288122
visual snow,ヴィジュアル・スノウ症候群,病気,visual impairment,視界の白飛に代表される視覚障害,Q760367
