qid,category,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q1707292,症状,Q169872,Asymptomatic,症候が現れない,"a condition or state of a disease, which occurs when the individual does not present symptoms of the disease, even though he or she is a carrier of the virus.",,,,,,
Q1755849,症状,Q169872,palmar erythema,手掌紅斑,reddening of the palms,,,L53.8,695.0,,C0014745
Q1639204,症状,Q169872,Hutchinson's triad,,three clinical signs indicative of congenital syphilis,,,,,,C0241925
Q4419854,症状,Q169872,psychological pillow,,symptom of catatonia (where the individual holds his head a few centimetres above the bed),,,,,,
Q5499877,症状,Q169872,Free Immersion,,"freediving discipline in which no propulsion equipment is used, but pulling on the rope during descent and ascent is permitted",,,,,,
Q5380065,症状,Q169872,Ensure,,brand name of nutritional supplements and meal replacement shakes,,,,,,
Q5852896,症状,Q169872,plant necrosis,,,,,,,,
Q4918357,症状,Q169872,bismuthia,,medical condition,,,,,,
Q4419847,症状,Q169872,Pavlov's symptom,,catatonic symptom (described by Pavlov) : the patient reacts only to whispering.,,,,,,
Q5140942,症状,Q169872,coffee ground vomiting,コーヒー残渣様嘔吐,medical condition,,,,,,C1510416
Q3809295,症状,Q169872,tachykinesia,,,,,,,,
Q4159548,症状,Q169872,fruit deformation,,,,,,,,
Q4574618,症状,Q169872,nostrils distended,,,,,,,,
Q6744445,症状,Q169872,malnutrition–inflammation complex,,common condition in chronic disease states such as chronic kidney disease,,,,,,
Q5283089,症状,Q169872,distress,苦悩,difficult state in which a person is unable to completely adapt to stressors and their resulting stress and shows maladaptive behaviors,,D000079225,,,,C0231303
Q5540112,症状,Q169872,George H. W. Bush vomiting incident,ブッシュ米大統領の1992年の崩壊と嘔吐,when US President vomited into Japanese Prime Minister's lap,,,,,,
Q4346317,症状,Q169872,strawberry tongue,イチゴ舌,symptom,,,,529.3,,
Q5000947,症状,Q169872,Burton line,,clinical sign found in patients with chronic lead poisoning,,,,,,
Q3746560,症状,Q169872,phlegm,痰,liquid secreted by the mucous membranes of mammalians,,,,,,
Q4763844,症状,Q169872,Angor animi,,symptom defined as a patient's perception that they are dying,,,,,,C0549258
Q3061764,症状,Q169872,morbilliform rash,,symptom,,,,,,C0234918
Q2319686,症状,Q169872,vesical tenesmus,,medical condition,,,R30.1,788.9,,C0423735
Q2560633,症状,Q169872,stertorous,,medical condition,,,,,,C0231841
Q2365426,症状,Q169872,acneiform eruption,,medical condition,,D017486,L70.8,,,C0175167
Q2455868,症状,Q169872,odynophagia,,medical term for painful swallowing,,,R13,787.20,,C0221150
Q3232712,症状,Q169872,impairment of continence,失禁,lack of control of either bladder or bowel function,,,,,,
Q3030775,症状,Q169872,distraction,注意散漫,diversion of attention away from an intended focus,,,,,,
Q6771095,症状,Q169872,Markle's sign,,medical condition,,,,,,
Q6931241,症状,Q169872,mucopurulent discharge,,emission or secretion of fluid containing mucus and pus,,,,,,C0302307
Q6817452,症状,Q169872,mental distress,精神的苦痛,"range of symptoms and experiences of a person's internal life that are commonly held to be troubling, confusing or out of the ordinary",,,,,,
Q6819872,症状,Q169872,mermaiding,マーメイディング,swimming  wearing a mermaid costume,,,,,,
Q1192036,症状,Q169872,microsleep,マイクロスリープ,temporary episode of sleep or drowsiness,,,,,,
Q1166142,症状,Q169872,erythema,紅斑,symptom,,D004890,L51,695,,C0332575
Q1269237,症状,Q169872,dyschylia,,,,,,,,
Q1198115,症状,Q169872,stereotypy,常同行動,repetitive mechanical repetition of speech or physical activities,,D013239,,307.3,,C0038271
Q1163908,症状,Q169872,melena,メレナ,medical condition with dark feces that are associated with upper gastrointestinal bleeding,,D008551,K92.1,578.1,,C0025222
Q1975146,症状,Q169872,obtundation,鈍麻,state characterised by a reduced level of consciousness and slowed responses to stimulation,,,,,,C1621860
Q1781127,症状,Q169872,borborygmus,腸蠕動音,"rumbling, growling or gurgling noise produced by movement of the contents of the gastro-intestinal tract",,,,,,C0232693
Q1806356,症状,Q169872,algiuria,,painful urination,,,R30.9,,,C4011784
Q1751296,症状,Q169872,uterine contraction,子宮収縮,contraction of the uterus,,D014590,,,,C0042130
Q1642611,症状,Q169872,negativism,,opposition or no response to instructions or external stimuli (catatonic symptom),,D009341,,,,
Q1758945,症状,Q169872,redout,レッドアウト,medical symptom when experiencing negative g-force,,,,,,
Q5141203,症状,Q169872,cognitive deficit,認知障害,medical condition,,,,,,
Q4930803,症状,Q169872,blurred vision,かすみ目,"symptom, lack of sharpness of vision resulting in the inability to see fine detail",,,,,,
Q4340622,症状,Q169872,focal neurologic sign,前頭葉徴候,"impairment of nerve, spinal cord, or brain function that affects a specific region of the body",,,,,,C1848821
Q4924780,症状,Q169872,blanch,,symptom,,,,,,C0277941
Q5429401,症状,Q169872,Faget sign,,pairing of fever with bradycardia,,,,,,
Q2466723,症状,Q169872,gummatous syphilis,ゴム腫,"tertiary syphilis that is characterized by granulomatous lesions, called gummas, which are characterized by a center of necrotic tissue with a rubbery texture. They form in the liver, bones, and testes but may affect any organ",,,A52.3,095,,
Q2747900,症状,Q169872,Bell's phenomenon,ベル現象,reflex of the eye,,,,,,
Q2729863,症状,Q169872,hostility,敵意,form of emotionally charged angry behavior,,D006791,R45.5,,,C0020039
Q2858354,症状,Q169872,Constant Weight With Fins,,freediving discipline in which the diver descends and ascends only by swimming with the use of fins,,,,,,
Q2858351,症状,Q169872,No-Limits Apnea,,freediving discipline in which the diver descends and ascends using their method of choice,,,,,,
Q2858355,症状,Q169872,static apnea,,"discipline in which the diver holds their breath underwater for as long as possible, and need not swim any distance",,,,,,
Q2346980,症状,Q169872,absence seizure,欠神発作,"generalized seizure characterized by a brief loss and return of consciousness, generally not followed by a period of lethargy",,D004832,G40.3,345.0,,
Q2348540,症状,Q169872,buffalo neck,,,,,,,,C0520573
Q3328158,症状,Q169872,vesicular sound,肺胞呼吸音,normal breath sound,,,,,,C0231857
Q2723947,症状,Q169872,somatization,身体化,medical symptoms caused by psychological stress,,,,,,C0149779
Q2738617,症状,Q169872,desquamation,落屑,"""shedding"" of the skin",,,R23.4,,,C0237849
Q2610154,症状,Q169872,red eye,充血,type of eye disease,,,H57.9,379.93,,C0235267
Q3152967,症状,Q169872,emotional insecurity,,unease caused by seeing oneself as inferior or vulnerable,,,,,,
Q3144956,症状,Q169872,upper gastrointestinal bleeding,上部消化管出血,medical condition,,,K92.2,578.9,,C0041909
Q3390934,症状,Q169872,Holy Wounds,,"the five piercing wounds Jesus suffered during the crucifixion, i.e. those in his hands and feet and the lance wound on his side",,,,,,
Q21109826,症状,Q169872,facial twitch,,rapid movement of the facial muscles,,,,,,
Q21117104,症状,Q169872,weak feet,,,,,,,,C0239648
Q21117562,症状,Q169872,emotional upset,,,,,,,,C0677661
Q21117554,症状,Q169872,muscle incoordination,,,,,,,,C0231527
Q21117369,症状,Q169872,tonic spasms,,,,,,,,C1836825
Q21118859,症状,Q169872,nasal irritation,鼻の刺激,,,,,,,
Q21118863,症状,Q169872,pharyngeal irritation,,,,,,,,C0863112
Q21119309,症状,Q169872,liver tenderness,,,,,,,,C0151767
Q21117184,症状,Q169872,staggering gait,,,,,,,,
Q18343527,症状,Q169872,gastrointestinal distress,,symptom,,,,,,C0232459
Q21116733,症状,Q169872,respiratory hypersensitivity,呼吸器過敏症,symptom,,D012130,,,,C0035228
Q21109757,症状,Q169872,bronze skin,,symptom,,,,,,C0241145
Q21109840,症状,Q169872,chest tightness,,symptom,,,,,,C0232292
Q21109868,症状,Q169872,cholinesterase inhibition,,symptom,,,,,,C0877006
Q21110084,症状,Q169872,dark urine,,symptom,,,,,,C0426396
Q21110098,症状,Q169872,decreased audio-visual performance,,symptom,,,,,,C1955604
Q21110105,症状,Q169872,decreased forced expiratory volume,,symptom,,,,,,C0520837
Q21110117,症状,Q169872,decreased pulmonary function,,symptom,,,,,,CL355398
Q21112198,症状,Q169872,increased blood clotting time,,symptom,,,,,,C0151563
Q21112361,症状,Q169872,lung changes,,symptom,,,,,,C0577914
Q21112456,症状,Q169872,myocardial damage,,symptom,,,,,,C0577812
Q21112474,症状,Q169872,myoclonus of limbs,,symptom,,,,,,CL759578
Q21109775,症状,Q169872,unpleasant taste,,,,,,,,
Q21110052,症状,Q169872,temporary loss of hair,,,,,,,,
Q21117140,症状,Q169872,blue-gray vision,,,,,,,,
Q21116709,症状,Q169872,stiff spine,,,,,,,,
Q21117153,症状,Q169872,colored halos,,,,,,,,
Q21117532,症状,Q169872,jerking limbs,,,,,,,,
Q21118017,症状,Q169872,palmar planter hyperkeratosis,,,,,,,,
Q21118168,症状,Q169872,retrosternal tightness,,,,,,,,
Q21119047,症状,Q169872,cardiac stress,,,,,,,,
Q21116634,症状,Q169872,pulmonary irritation,,symptom,,,,,,C0235932
Q21116849,症状,Q169872,skin blisters,,symptom,,,,,,C2220104
Q21109236,症状,Q169872,urinary burning,,,,,R30.9,,,C0423736
Q19000619,症状,Q169872,urination disorder,,human disease,,D014555,R30-R39,,,C0042035
Q21109837,症状,Q169872,finger tremor,手指振戦,"rapid, involuntary shaking of the fingers",,,,,,C0239601
Q21117353,症状,Q169872,hyperexcitability,,,,,,,,C0856984
Q21112553,症状,Q169872,ocular changes,,eye manifestation of non-eye diseases,,D005132,,,,C0015411
Q21117302,症状,Q169872,twitching,,symptom,,,R25.3,,,C0231530
Q21077147,症状,Q169872,eye pain,,medical symptom,,D058447,H57.1,,,C0151827
Q21112293,症状,Q169872,upper respiratory irritation,上気道刺激,symptom,,,,,,
Q21077144,症状,Q169872,abnormal hematologic indices,,medical symptom,,,,,,
Q21109742,症状,Q169872,bronchial secretion,,symptom,,,,,,
Q21109805,症状,Q169872,central nervous system excitement,,symptom,,,,,,
Q21110047,症状,Q169872,corneal vacuolization,,symptom,,,,,,
Q21110074,症状,Q169872,cutaneous hypersensitivity,,symptom,,,,,,
Q21110112,症状,Q169872,decreased nerve conduction in lower legs,,symptom,,,,,,
Q21110165,症状,Q169872,delayed healing of wounds,,symptom,,,,,,
Q21110281,症状,Q169872,dry burning throat,,symptom,,,,,,
Q21110289,症状,Q169872,dry cracked skin,,symptom,,,,,,
Q21110311,症状,Q169872,EKG abnormal,,symptom,,,,,,
Q21111985,症状,Q169872,facial pallor,,symptom,,,,,,
Q21111994,症状,Q169872,facial paresthesia,,symptom,,,,,,
Q21112016,症状,Q169872,gastrointestinal upset,,symptom,,,,,,
Q21112075,症状,Q169872,hand tremor,,symptom,,,,,,
Q21112276,症状,Q169872,bladder irritation,,symptom,,,,,,
Q21112080,症状,Q169872,hemolytic effect,,symptom,,,,,,
Q21112091,症状,Q169872,high blood urea nitrogen,,symptom,,,,,,
Q21112278,症状,Q169872,gastrointestinal irritation,,symptom,,,,,,
Q21112279,症状,Q169872,mucous membrane irritation,,symptom,,,,,,
Q21112341,症状,Q169872,localized sweating,,symptom,,,,,,
Q21112421,症状,Q169872,minor changes in blood enzymes,,symptom,,,,,,
Q21112499,症状,Q169872,nasal ulcer bleeding,,symptom,,,,,,
Q21112539,症状,Q169872,numb mucous membrane,,symptom,,,,,,
Q21112577,症状,Q169872,pallor or cyanosis of extremities,,symptom,,,,,,
Q21112656,症状,Q169872,pink frothy sputum,,symptom,,,,,,
Q21112701,症状,Q169872,respiratory sensitization,,symptom,,,,,,
Q21116594,症状,Q169872,profuse sweating,,symptom,,,,,,
Q21116602,症状,Q169872,prolonged colds,,symptom,,,,,,
Q21116617,症状,Q169872,psycho-neurologic disturbance,,symptom,,,,,,
Q21116678,症状,Q169872,reflex bronchoconstriction,,symptom,,,,,,
Q21116801,症状,Q169872,sense of well being,,symptom,,,,,,
Q21117406,症状,Q169872,liver enzyme changes,,symptom,,,,,,
Q21117872,症状,Q169872,deep pain,,symptom,,,,,,
Q21112283,症状,Q169872,respiratory irritation,呼吸器の刺激,symptom,,,,,,C0854118
Q21077145,症状,Q169872,absent deep tendon reflex,,medical symptom,,,,,,C0241772
Q21110145,症状,Q169872,temporary blindness,,transient loss of ability to see,,,,,,C0155003
Q19720556,症状,Q169872,centrilobular necrosis,,medical condition,,,,,,C0267804
Q30141399,症状,Q169872,decreased or poor judgment,,,,,,,,
Q30141385,症状,Q169872,problems with words in speaking or writing,,,,,,,,
Q30141432,症状,Q169872,withdrawal from work or social activities,,,,,,,,
Q30141517,症状,Q169872,trouble understanding visual images and spatial relationships,,,,,,,,
Q30141588,症状,Q169872,misplacing things and losing the ability to retrace steps,,,,,,,,
Q30141616,症状,Q169872,memory loss that disrupts daily life,,,,,,,,
Q21128616,症状,Q169872,localized pain,,symptom,,,,,,C0520962
Q25245384,症状,Q169872,Pilot fatigue,,Reduced pilot performance from inadequate energy,,,,,,
Q21505002,症状,Q169872,cornea blistering,,symptom,,,,,,C3553964
Q21505036,症状,Q169872,sinus pain,,symptom,,,,,,C0522251
Q28455110,症状,Q169872,emotional lability,気分変動,medical symptom,,,,,,
Q30694315,症状,Q169872,Pain out of proportion,,pain out of proportion to physical examination,,,,,,
Q21504931,症状,Q169872,gastric hypomotility,,medical condition,,,,,,C0948397
Q21402601,症状,Q169872,clouding of the corneas,,symptom,,,,,,C1856661
Q21402619,症状,Q169872,feeling of neck constriction,,symptom,,,,,,C0236071
Q22965448,症状,Q169872,Collet's syndrome,,,,,,,,C0270885
Q23012214,症状,Q169872,glowing feces,,symptom of white phosphorus exposure,,,,,,
Q23012213,症状,Q169872,glowing vomit,,symptom of white phosphorus exposure,,,,,,
Q21402577,症状,Q169872,myocardial dysfunction,,medical condition,,,,,,C0340515
Q21402576,症状,Q169872,necrosis of the corneal epithelium,,medical condition,,,,,,C0542107
Q21402634,症状,Q169872,microhemorrhage,,medical condition,,,,,,C0859253
Q21402635,症状,Q169872,mimicked myocardial infarction,,medical condition,,,,,,C0476281
Q21402563,症状,Q169872,unilateral facial nerve palsy,,medical condition,,,,,,C4022719
Q21402560,症状,Q169872,ventricular dysrhythmia,,medical condition,,,,,,C0344424
Q21120278,症状,Q169872,blue lips and skin,,symptom,,,,,,
Q21127492,症状,Q169872,dry nose and throat,,symptom,,,,,,
Q21515328,症状,Q169872,erratic behavior,,symptom,,,,,,C0564572
Q21402621,症状,Q169872,greatly increased nasal secretions and oral secretions,,symptom,,,,,,
Q21402566,症状,Q169872,systemic toxicity,,symptom,,,,,,
Q21402574,症状,Q169872,phrenic nerve paralysis,,medical condition,,,,,,
Q21402561,症状,Q169872,vascular collapse,,medical condition,,,,,,
Q136443290,症状,Q169872,dopaminergic dysfunction,,"a scientific term used to describe a problem, imbalance, or malfunction within the dopaminergic system of the brain.",,,,,,
Q136446790,症状,Q169872,cognitive impairment,,"a decline or deficit in one or more of the brain's cognitive functions. These functions include mental processes such as memory, thinking, reasoning, learning, attention, judgment, and problem-solving.",,,,,,
Q135186962,症状,Q169872,Pain asymbolia,,A medical condition in which pain is experienced without unpleasantness.,,,,,,
Q21119919,症状,Q169872,mucous membrane hemorrhage,,,,,,,,C0240387
Q21119312,症状,Q169872,larynx irritation,,,,,,,,
Q21119414,症状,Q169872,increased cardiac output,,,,,,,,
Q21119347,症状,Q169872,mouth irritation,,,,,,,,
Q21119551,症状,Q169872,unsteady gait,,,,,,,,
Q11794732,症状,Q169872,Erb's phenomenon,,Symptom of tetanus,,,,,,
Q10786647,症状,Q169872,alveolar fluid,,,,,,,,
Q11820606,症状,Q169872,eye irritation,目の炎症,irritation of the eye,,,,,,C0235266
Q16595080,症状,Q169872,gastroesophageal reflux,呑酸,symptom,,,,,,C0856449
Q11919412,症状,Q169872,enteralgia,,,,,,,,C1557475
Q12680516,症状,Q169872,jaw pain,,,,,,,,
Q8777453,症状,Q169872,cutaneous eruption,,,,,,,,C0302295
Q16526372,症状,Q169872,air alveologram,,,,,,,,
Q10301920,症状,Q169872,indecision,,inabilty to decide,,,,,,C0423908
Q10547530,症状,Q169872,difficulty concentrating,,clinical symptom,,,,,,C0947509
Q7989549,症状,Q169872,Westphal's sign,,medical condition,,,,,,
Q16583321,症状,Q169872,Gottron's sign,,medical sign,,,L94.4,,,C0423781
Q7316656,症状,Q169872,retching,,reverse movement (peristalsis) of the stomach and esophagus without vomiting,,,,,,C0232602
Q8038367,症状,Q169872,wrist pain,,symptom,,,,,,
Q7315912,症状,Q169872,respiratory distress,,symptom,,,,,,
Q7967199,症状,Q169872,wandering,,common behavior in people with dementia,,D055816,,,,C0871597
Q11697109,症状,Q169872,erythema gyratum repens,匍行性迂回状紅斑,medical condition,,,L53.3,,,C0263357
Q12643772,症状,Q169872,heat exhaustion,熱疲労,caused by the loss of water and electrolytes through sweating,,D006359,,,,C0018839
Q12101178,症状,Q169872,discomfort,,unpleasant physical feeling,,,,,,C0234215
Q16831518,症状,Q169872,gastric reflux finding,,symptom,,,,,,C0558176
Q11789224,症状,Q169872,acute visual loss,,Loss of visual acuity (implying that vision was better at a certain timepoint in life).,,,,,,C0155002
Q7305419,症状,Q169872,Red wine headache,,headache often accompanied by nausea and flushing,,,,,,
Q10649843,症状,Q169872,restlessness,,"lack of calm, peace, or ease",,,,,,
Q12719169,症状,Q169872,Tufse,,Synonymous with fear,,,,,,
Q12738740,症状,Q169872,vascular purpura,,medical condition,,,,,,C1368065
Q16866863,症状,Q169872,Skin sloughing,,shedding dead surface cells off the skin,,,,,,CL454356
Q17001055,症状,Q169872,Constant Weight Without Fins,,freediving discipline in which the diver descends and ascends only by swimming without the use of fins,,,,,,
Q17119420,症状,Q169872,hypofrontality,,state of decreased cerebral blood flow,,,,,,
Q21120154,症状,Q169872,pain on inspiration,,,,,,,,C3160787
Q21120146,症状,Q169872,pulmonary sensitization,,,,,,,,C2939096
Q21120269,症状,Q169872,retrosternal pain,,,,,,,,C0151826
Q21515325,症状,Q169872,short attention span,,symptom,,,,,,
Q21541481,症状,Q169872,severe tissue destruction,,symptom,,,,,,
Q21120069,症状,Q169872,behavioral changes,,change in an individual's behavior,,,,,,C0542299
Q21402617,症状,Q169872,eye ulceration,目の潰瘍,medical condition,,,,,,C0848383
Q21120094,症状,Q169872,hair discoloration,,,,,L67.1,,,C0151689
Q22314624,症状,Q169872,clammy skin,,symptom,,,R23.1,,,C0235848
Q21862894,症状,Q169872,motor dysfunction,,symptom,,,,,,CL473871
Q21402569,症状,Q169872,rice water diarrhea,,copious watery stool that resembles rice water,,,,,,
